Geneid	/mnt/efs/clusterfcs/data/tfm-esther/procesado-2/duplicates/PP035_sorted_q10_mrkDup.bam
DDX11L1	45
WASH7P	2
MIR6859-1	0
MIR1302-2HG	3
MIR1302-2	0
FAM138A	5
OR4G4P	0
OR4G11P	0
OR4F5	0
ENSG00000238009	0
ENSG00000239945	0
CICP27	0
ENSG00000268903	0
ENSG00000269981	0
ENSG00000239906	0
ENSG00000241860	0
RNU6-1100P	0
ENSG00000241599	0
DDX11L17	9
WASH9P	0
MIR6859-2	0
ENSG00000228463	3
ENSG00000286448	0
RPL23AP24	0
ENSG00000236601	0
ENSG00000237094	11
WBP1LP7	0
OR4F29	0
CICP7	0
ENSG00000250575	0
U6	2
ENSG00000230021	1
ENSG00000235146	0
MTND1P23	94
MTND2P28	10677
MTCO1P12	1173
ENSG00000278791	0
MTCO2P12	94
MTATP8P1	10
MTATP6P1	36837
MTCO3P12	61
WBP1LP6	0
OR4F16	0
CICP3	0
ENSG00000228327	9
RNU6-1199P	0
ENSG00000229905	0
LINC01409	12
ENSG00000285268	0
ENSG00000230092	84
FAM87B	3
LINC01128	23
LINC00115	2
ENSG00000288531	8
FAM41C	0
TUBB8P11	0
ENSG00000283040	8
ENSG00000272438	0
ENSG00000230699	1
ENSG00000241180	1
LINC02593	1
SAMD11	1
NOC2L	56
KLHL17	1
PLEKHN1	7
PERM1	0
ENSG00000272512	0
HES4	6
ISG15	167
ENSG00000231702	0
ENSG00000224969	0
AGRN	2
ENSG00000242590	0
ENSG00000217801	0
ENSG00000273443	0
RNF223	0
C1orf159	12
ENSG00000285812	0
LINC01342	1
MIR200B	0
MIR200A	0
MIR429	0
ENSG00000272141	0
TTLL10-AS1	0
TTLL10	0
TNFRSF18	0
TNFRSF4	0
SDF4	132
B3GALT6	6
C1QTNF12	0
ENSG00000260179	3
UBE2J2	109
LINC01786	0
SCNN1D	0
ACAP3	18
MIR6726	0
PUSL1	1
INTS11	65
MIR6727	0
ENSG00000240731	0
CPTP	8
TAS1R3	0
DVL1	17
MIR6808	0
MXRA8	1
AURKAIP1	68
NDUFB4P8	0
CCNL2	21
MRPL20-AS1	2
MRPL20	49
RN7SL657P	0
MRPL20-DT	7
ANKRD65	0
ANKRD65-AS1	0
TMEM88B	13
LINC01770	0
VWA1	3
ATAD3C	2
ATAD3B	17
ENSG00000284740	0
ATAD3A	16
TMEM240	0
SSU72	229
ENSG00000215014	4
ENSG00000274481	0
FNDC10	5
ENSG00000286989	9
ENSG00000272106	12
MIB2	15
MMP23B	0
CDK11B	119
ENSG00000272004	0
SLC35E2B	55
ENSG00000269737	8
MMP23A	0
CDK11A	2
ENSG00000268575	7
ENSG00000227775	2
SLC35E2A	2
NADK	115
GNB1	4554
GNB1-DT	3
CALML6	0
TMEM52	0
CFAP74	20
ENSG00000233542	0
GABRD	18
PRKCZ-DT	0
PRKCZ	0
ENSG00000271806	0
PRKCZ-AS1	0
FAAP20	46
ENSG00000234396	0
SKI	149
ENSG00000287356	0
MORN1	3
ENSG00000272161	0
ENSG00000269896	0
ENSG00000272420	0
RER1	55
PEX10	25
PLCH2	8
ENSG00000224387	0
ENSG00000229393	0
PANK4	25
HES5	5
ENSG00000272449	20
TNFRSF14-AS1	1
TNFRSF14	73
ENSG00000225931	4
ENSG00000228037	8
ENSG00000289610	0
PRXL2B	74
MMEL1	1
MMEL1-AS1	0
TTC34	3
ENSG00000285945	0
ENSG00000283259	7
ENSG00000233234	0
ENSG00000287396	0
ENSG00000231630	0
ENSG00000284745	1
ACTRT2	0
PRDM16-DT	0
PRDM16	7
MIR4251	0
ENSG00000226286	0
ENSG00000279839	0
ENSG00000272235	1
ENSG00000287828	0
ENSG00000286518	1
ARHGEF16	2
ENSG00000272088	0
MEGF6	6
MIR551A	0
ENSG00000238260	2
TPRG1L	189
WRAP73	28
TP73	16
TP73-AS3	0
TP73-AS2	0
TP73-AS1	19
ENSG00000276189	0
CCDC27	0
SMIM1	34
LRRC47	59
RN7SL574P	0
ENSG00000272153	0
CEP104	97
DFFB	5
C1orf174	90
LINC01134	4
LINC01346	1
LINC01345	0
LINC02780	0
ENSG00000284703	1
EEF1DP6	1
LINC01777	0
ENSG00000284694	2
ENSG00000227169	0
LINC01646	1
AJAP1	11
ENSG00000287586	0
ENSG00000284739	0
LINC02781	1
LINC02782	0
ENSG00000284616	0
ENSG00000284692	1
ENSG00000284666	2
ENSG00000260972	0
ENSG00000283356	0
ENSG00000236948	0
ENSG00000264341	0
MIR4689	0
NPHP4	28
KCNAB2	113
CHD5	11
ENSG00000285629	0
RPL22	716
RNF207-AS1	0
RNF207	8
ICMT	15
ICMT-DT	1
HES3	0
GPR153	1
ACOT7	282
ENSG00000271746	0
HES2	0
ESPN	7
MIR4252	0
ENSG00000231868	0
TNFRSF25	0
PLEKHG5	11
NOL9	81
RNU6-731P	0
ENSG00000229519	0
TAS1R1	2
ZBTB48	16
KLHL21	32
PHF13	40
THAP3	13
DNAJC11	54
LINC01672	0
ENSG00000284744	7
CAMTA1-DT	0
CAMTA1	1106
ENSG00000227950	0
ENSG00000237365	5
RNU1-8P	6
CAMTA1-IT1	0
CAMTA1-AS2	0
CAMTA1-AS1	0
ENSG00000270171	1
ENSG00000270035	0
ENSG00000269978	0
VAMP3	1533
ENSG00000269925	0
PER3	56
ENSG00000236266	0
UTS2	5
TNFRSF9	2
ENSG00000270330	0
PARK7	1359
Y_RNA	8210
ENSG00000284747	0
ENSG00000284716	0
ERRFI1	0
ERRFI1-DT	0
ENSG00000232848	0
ENSG00000229305	0
ENSG00000288816	6
LINC01714	2
RNU1-7P	0
ENSG00000233645	0
RNU6-991P	2
SLC45A1	0
RERE	815
RERE-AS1	1
ENSG00000221083	0
ENSG00000270282	0
RPL7P11	0
RPL7P7	2
ENSG00000226545	0
ENSG00000228423	0
RPL23AP19	0
ENO1	1904
MIR6728	0
ENO1-AS1	0
RNU6-304P	0
HMGN2P17	0
ENSG00000232208	8
ENSG00000232663	0
CA6	0
RN7SL451P	2
SLC2A7	0
SLC2A5	15
ENSG00000252404	0
GPR157	3
MIR34AHG	4
MIR34A	0
LNCTAM34A	7
H6PD	6
SPSB1	31
ENSG00000284652	1
LINC02606	7
RNA5SP40	0
ENSG00000235263	0
SLC25A33	9
ENSG00000231181	0
TMEM201	0
PIK3CD	183
PIK3CD-AS1	0
ENSG00000233268	0
PIK3CD-AS2	1
CLSTN1	48
MZT1P1	0
ENSG00000280113	1
CTNNBIP1	185
ENSG00000223989	0
ENSG00000285701	0
LZIC	807
ENSG00000228150	0
NMNAT1	77
RN7SKP269	0
TMEM274P	0
MIR5697	0
ENSG00000241326	0
RBP7	93
UBE4B	327
ENSG00000224340	0
PGAM1P11	0
RNU6-828P	0
KIF1B	437
ENSG00000264881	0
RNU6-37P	6
RN7SL731P	0
ENSG00000284735	1
ENSG00000284642	0
PGD	1570
ENSG00000271989	0
CENPS-CORT	0
CENPS	0
CORT	3
DFFA	21
ENSG00000203469	0
PEX14	5
ENSG00000287727	1
RN7SL614P	0
CASZ1	6
ENSG00000272078	0
HSPE1P24	0
C1orf127	3
CFL1P6	0
TARDBP	129
MASP2	0
SRM	52
EXOSC10	131
ENSG00000226849	0
EXOSC10-AS1	0
MTOR	122
MTOR-AS1	0
RNU6-537P	0
ANGPTL7	0
RNU6-291P	0
RPL39P6	12
UBIAD1	4
UBE2V2P3	0
ENSG00000284646	0
MTCYBP45	0
DISP3	3
ENSG00000285833	0
LINC01647	0
ENSG00000284708	0
FBXO2	1
FBXO44	0
FBXO6	16
MAD2L2	89
DRAXIN	1
AGTRAP	33
C1orf167	0
C1orf167-AS1	0
MTHFR	50
CLCN6	45
ENSG00000276470	0
ENSG00000278852	0
NPPA	2
ENSG00000275915	0
NPPB	0
SBF1P2	0
ENSG00000285646	2
RNU5E-1	0
RNU5E-4P	2
KIAA2013	73
PLOD1	50
ENSG00000287384	0
MFN2	957
ENSG00000270914	0
MIIP	42
MIR6729	0
RN7SL649P	0
TNFRSF8	13
RNU6-777P	0
RPL23AP89	0
ENSG00000285604	0
MIR7846	0
TNFRSF1B	41
MIR4632	0
RPL10P17	0
SNORA70	0
VPS13D	312
SNORA59A	0
LINC02766	8
DHRS3	238
RNU6ATAC18P	0
MIR6730	0
ENSG00000288927	11
ENSG00000272482	5
AADACL4	0
ENSG00000226166	0
AADACL3	10
CFAP107	2
PRAMEF12	3
PRAMEF1	1
LINC01784	0
PRAMEF11	5
PRAMEF30P	0
HNRNPCL1	4
PRAMEF2	0
PRAMEF4	13
PRAMEF10	0
PRAMEF7	1
RNU6-1072P	0
PRAMEF29P	0
PRAMEF6	8
PRAMEF28P	2
PRAMEF27	0
HNRNPCL3	0
PRAMEF25	0
PRAMEF34P	0
PRAMEF35P	0
HNRNPCL2	1
PRAMEF36P	0
ENSG00000233336	0
PRAMEF26	1
HNRNPCL4	0
PRAMEF9	0
PRAMEF13	0
PRAMEF18	0
PRAMEF31P	0
PRAMEF5	0
PRAMEF32P	0
RNU6-771P	0
PRAMEF8	5
PRAMEF33	0
PRAMEF15	0
ENSG00000228229	0
PRAMEF14	0
PRAMEF19	0
PRAMEF17	0
PRAMEF20	0
LRRC38	0
ENSG00000259961	4
BRWD1P1	0
PDPN	5
RNA5SP41	0
ENSG00000237445	0
ENSG00000253085	3
PRDM2	769
ENSG00000289380	0
KAZN	64
RNU6-1265P	0
ENSG00000231606	0
KAZN-AS1	7
TBCAP2	0
ENSG00000287756	0
TMEM51-AS1	2
TMEM51	0
TMEM51-AS2	0
MFFP1	0
ZBTB2P1	0
FHAD1	41
FHAD1-AS1	3
ENSG00000236045	0
EFHD2-AS1	7
EFHD2	638
CTRC	0
CELA2A	0
CELA2B	0
CASP9	77
DNAJC16	689
SCARNA21B	0
ENSG00000272510	0
AGMAT	0
ENSG00000237301	0
CHCHD2P6	0
RNU7-179P	0
CD24P1	0
DDI2	365
RSC1A1	0
ENSG00000271742	3
PLEKHM2	116
ENSG00000237938	1
SLC25A34	0
SLC25A34-AS1	0
TMEM82	0
FBLIM1	1
RPL12P14	1
UQCRHL	52
ENSG00000178715	0
FLJ37453	4
SPEN	496
ENSG00000270620	0
ZBTB17	36
ENSG00000234607	0
ENSG00000231353	0
ENSG00000275503	0
TBC1D3P6	0
SRARP	0
ENSG00000233078	0
HSPB7	0
CLCNKA	3
ENSG00000232456	0
CLCNKB	17
FAM131C	3
EPHA2	3
EPHA2-AS1	1
ENSG00000224621	4
ARHGEF19-AS1	0
ARHGEF19	1
ANO7L1	28
ENSG00000288398	4
CPLANE2	7
MT1XP1	0
FBXO42	39
SZRD1	346
RPL22P3	0
SPATA21	0
NECAP2	124
LINC01772	7
CROCCP3	4
RNU1-1	0
ENSG00000261135	0
ENSG00000285853	0
ENSG00000224174	0
LINC01783	0
RNU1-6P	0
PDE4DIPP8	1
NBPF1	52
ENSG00000271732	0
CROCCP2	34
ENSG00000283773	0
MST1P2	1
ENSG00000282143	0
RNU1-3	0
ENSG00000280114	0
EIF1AXP1	2
ESPNP	6
ENSG00000279151	0
ENSG00000282740	0
CROCC	16
CROCCP4	0
RNU1-4	2
MST1L	0
ENSG00000223643	0
PDE4DIPP9	0
MIR3675	0
ENSG00000228549	6
RNU1-5P	0
ENSG00000238142	2
ENSG00000235241	0
RNU1-2	8
ENSG00000272426	0
MFAP2	1
ENSG00000286898	0
ENSG00000226526	0
ATP13A2	42
ENSG00000288636	0
SDHB	106
PADI2	66
LINC02783	0
ENSG00000282843	0
PADI1	3
PADI3	1
MIR3972	2
PADI4	615
PADI6	0
RCC2-AS1	0
RCC2	328
ARHGEF10L	24
LINC02810	0
ACTL8	0
ENSG00000284653	3
LINC01654	8
IGSF21	5
ENSG00000280222	1
IGSF21-AS1	0
ENSG00000225387	0
KLHDC7A	0
DYNLL1P3	0
ENSG00000225478	0
