Geneid	/mnt/efs/clusterfcs/data/tfm-esther/procesado-2/duplicates/PP048_sorted_q10_mrkDup.bam
DDX11L1	46
WASH7P	6
MIR6859-1	0
MIR1302-2HG	0
MIR1302-2	0
FAM138A	0
OR4G4P	0
OR4G11P	0
OR4F5	0
ENSG00000238009	0
ENSG00000239945	0
CICP27	0
ENSG00000268903	0
ENSG00000269981	0
ENSG00000239906	0
ENSG00000241860	0
RNU6-1100P	0
ENSG00000241599	0
DDX11L17	14
WASH9P	0
MIR6859-2	0
ENSG00000228463	0
ENSG00000286448	0
RPL23AP24	0
ENSG00000236601	0
ENSG00000237094	19
WBP1LP7	0
OR4F29	0
CICP7	0
ENSG00000250575	0
U6	0
ENSG00000230021	0
ENSG00000235146	0
MTND1P23	36
MTND2P28	3041
MTCO1P12	359
ENSG00000278791	0
MTCO2P12	25
MTATP8P1	2
MTATP6P1	12184
MTCO3P12	22
WBP1LP6	0
OR4F16	0
CICP3	0
ENSG00000228327	0
RNU6-1199P	0
ENSG00000229905	0
LINC01409	0
ENSG00000285268	0
ENSG00000230092	47
FAM87B	5
LINC01128	43
LINC00115	0
ENSG00000288531	4
FAM41C	0
TUBB8P11	0
ENSG00000283040	0
ENSG00000272438	0
ENSG00000230699	2
ENSG00000241180	0
LINC02593	0
SAMD11	2
NOC2L	41
KLHL17	0
PLEKHN1	0
PERM1	0
ENSG00000272512	2
HES4	11
ISG15	40
ENSG00000231702	0
ENSG00000224969	0
AGRN	6
ENSG00000242590	0
ENSG00000217801	2
ENSG00000273443	0
RNF223	1
C1orf159	4
ENSG00000285812	0
LINC01342	0
MIR200B	0
MIR200A	0
MIR429	0
ENSG00000272141	0
TTLL10-AS1	1
TTLL10	4
TNFRSF18	0
TNFRSF4	0
SDF4	202
B3GALT6	11
C1QTNF12	0
ENSG00000260179	7
UBE2J2	48
LINC01786	0
SCNN1D	0
ACAP3	10
MIR6726	0
PUSL1	7
INTS11	52
MIR6727	0
ENSG00000240731	0
CPTP	16
TAS1R3	0
DVL1	13
MIR6808	0
MXRA8	9
AURKAIP1	137
NDUFB4P8	0
CCNL2	36
MRPL20-AS1	21
MRPL20	105
RN7SL657P	0
MRPL20-DT	0
ANKRD65	0
ANKRD65-AS1	0
TMEM88B	1
LINC01770	0
VWA1	5
ATAD3C	1
ATAD3B	0
ENSG00000284740	0
ATAD3A	19
TMEM240	0
SSU72	175
ENSG00000215014	0
ENSG00000274481	0
FNDC10	24
ENSG00000286989	0
ENSG00000272106	1
MIB2	4
MMP23B	0
CDK11B	137
ENSG00000272004	0
SLC35E2B	68
ENSG00000269737	0
MMP23A	0
