Geneid	/mnt/efs/clusterfcs/data/tfm-esther/procesado-2/duplicates/PP060_sorted_q10_mrkDup.bam
DDX11L1	13
WASH7P	0
MIR6859-1	0
MIR1302-2HG	0
MIR1302-2	0
FAM138A	0
OR4G4P	0
OR4G11P	0
OR4F5	0
ENSG00000238009	0
ENSG00000239945	0
CICP27	0
ENSG00000268903	14
ENSG00000269981	0
ENSG00000239906	0
ENSG00000241860	0
RNU6-1100P	0
ENSG00000241599	0
DDX11L17	15
WASH9P	20
MIR6859-2	0
ENSG00000228463	1
ENSG00000286448	0
RPL23AP24	0
ENSG00000236601	0
ENSG00000237094	0
WBP1LP7	0
OR4F29	0
CICP7	0
ENSG00000250575	0
U6	2
ENSG00000230021	0
ENSG00000235146	0
MTND1P23	6
MTND2P28	865
MTCO1P12	118
ENSG00000278791	0
MTCO2P12	7
MTATP8P1	1
MTATP6P1	3118
MTCO3P12	10
WBP1LP6	0
OR4F16	0
CICP3	0
ENSG00000228327	0
RNU6-1199P	0
ENSG00000229905	0
LINC01409	0
ENSG00000285268	0
ENSG00000230092	133
FAM87B	8
LINC01128	77
LINC00115	1
ENSG00000288531	0
FAM41C	2
TUBB8P11	0
ENSG00000283040	0
ENSG00000272438	0
ENSG00000230699	6
ENSG00000241180	0
LINC02593	2
SAMD11	1
NOC2L	66
KLHL17	1
PLEKHN1	0
PERM1	1
ENSG00000272512	0
HES4	0
ISG15	22
ENSG00000231702	0
ENSG00000224969	0
AGRN	0
ENSG00000242590	0
ENSG00000217801	0
ENSG00000273443	0
RNF223	2
C1orf159	1
ENSG00000285812	0
LINC01342	0
MIR200B	0
MIR200A	0
MIR429	0
ENSG00000272141	0
TTLL10-AS1	0
TTLL10	2
TNFRSF18	0
TNFRSF4	9
SDF4	231
B3GALT6	1
C1QTNF12	0
ENSG00000260179	0
UBE2J2	95
LINC01786	1
SCNN1D	0
ACAP3	16
MIR6726	0
PUSL1	8
INTS11	138
MIR6727	0
ENSG00000240731	0
CPTP	10
TAS1R3	1
DVL1	0
MIR6808	0
MXRA8	11
AURKAIP1	89
NDUFB4P8	0
CCNL2	42
MRPL20-AS1	13
MRPL20	159
RN7SL657P	0
MRPL20-DT	0
ANKRD65	0
ANKRD65-AS1	0
TMEM88B	0
LINC01770	0
VWA1	5
ATAD3C	1
ATAD3B	25
ENSG00000284740	4
ATAD3A	18
TMEM240	0
SSU72	259
ENSG00000215014	3
ENSG00000274481	0
FNDC10	15
ENSG00000286989	0
ENSG00000272106	0
MIB2	65
MMP23B	0
CDK11B	302
ENSG00000272004	0
SLC35E2B	70
ENSG00000269737	0
MMP23A	0
CDK11A	0
ENSG00000268575	2
ENSG00000227775	1
SLC35E2A	5
NADK	279
GNB1	1817
GNB1-DT	2
CALML6	0
TMEM52	0
CFAP74	2
ENSG00000233542	0
GABRD	7
PRKCZ-DT	2
PRKCZ	58
ENSG00000271806	0
PRKCZ-AS1	0
FAAP20	56
ENSG00000234396	0
SKI	119
ENSG00000287356	0
MORN1	2
ENSG00000272161	2
ENSG00000269896	0
ENSG00000272420	0
RER1	65
PEX10	0
PLCH2	35
ENSG00000224387	0
ENSG00000229393	0
PANK4	4
HES5	0
ENSG00000272449	0
TNFRSF14-AS1	13
TNFRSF14	101
ENSG00000225931	12
ENSG00000228037	6
ENSG00000289610	0
PRXL2B	34
MMEL1	4
MMEL1-AS1	0
TTC34	2
ENSG00000285945	0
ENSG00000283259	0
ENSG00000233234	0
ENSG00000287396	0
ENSG00000231630	0
ENSG00000284745	0
ACTRT2	0
PRDM16-DT	5
PRDM16	4
MIR4251	0
ENSG00000226286	0
ENSG00000279839	1
ENSG00000272235	2
ENSG00000287828	1
ENSG00000286518	0
ARHGEF16	5
ENSG00000272088	0
MEGF6	2
MIR551A	0
ENSG00000238260	0
TPRG1L	121
WRAP73	17
TP73	2
TP73-AS3	4
TP73-AS2	0
TP73-AS1	18
ENSG00000276189	0
CCDC27	1
SMIM1	47
LRRC47	55
RN7SL574P	0
ENSG00000272153	0
CEP104	133
DFFB	18
C1orf174	32
LINC01134	1
LINC01346	0
LINC01345	0
LINC02780	11
ENSG00000284703	1
EEF1DP6	0
LINC01777	3
ENSG00000284694	0
ENSG00000227169	12
LINC01646	8
AJAP1	1
ENSG00000287586	11
ENSG00000284739	0
LINC02781	0
LINC02782	0
ENSG00000284616	0
ENSG00000284692	0
ENSG00000284666	2
ENSG00000260972	0
ENSG00000283356	0
ENSG00000236948	0
ENSG00000264341	0
MIR4689	0
NPHP4	18
KCNAB2	154
CHD5	13
ENSG00000285629	0
RPL22	1673
RNF207-AS1	0
RNF207	7
ICMT	70
ICMT-DT	1
HES3	1
GPR153	0
ACOT7	28
ENSG00000271746	7
HES2	0
ESPN	36
MIR4252	0
ENSG00000231868	0
TNFRSF25	23
PLEKHG5	5
NOL9	55
RNU6-731P	0
ENSG00000229519	0
TAS1R1	0
ZBTB48	0
KLHL21	52
PHF13	13
THAP3	1
DNAJC11	69
LINC01672	8
ENSG00000284744	0
CAMTA1-DT	0
CAMTA1	218
ENSG00000227950	0
ENSG00000237365	0
RNU1-8P	0
CAMTA1-IT1	1
CAMTA1-AS2	0
CAMTA1-AS1	1
ENSG00000270171	1
ENSG00000270035	0
ENSG00000269978	0
VAMP3	670
ENSG00000269925	0
PER3	81
ENSG00000236266	0
UTS2	5
TNFRSF9	8
ENSG00000270330	0
PARK7	271
Y_RNA	2170
ENSG00000284747	3
ENSG00000284716	0
ERRFI1	19
ERRFI1-DT	0
ENSG00000232848	0
ENSG00000229305	0
ENSG00000288816	0
LINC01714	0
RNU1-7P	3
ENSG00000233645	0
RNU6-991P	0
SLC45A1	4
RERE	525
RERE-AS1	3
ENSG00000221083	0
ENSG00000270282	2
RPL7P11	2
RPL7P7	4
ENSG00000226545	0
ENSG00000228423	0
RPL23AP19	0
ENO1	1197
MIR6728	0
ENO1-AS1	3
RNU6-304P	0
HMGN2P17	0
ENSG00000232208	0
ENSG00000232663	0
CA6	0
RN7SL451P	1
SLC2A7	0
SLC2A5	58
ENSG00000252404	0
GPR157	18
MIR34AHG	15
MIR34A	0
LNCTAM34A	0
H6PD	17
SPSB1	4
ENSG00000284652	0
LINC02606	1
RNA5SP40	0
ENSG00000235263	0
SLC25A33	5
ENSG00000231181	0
TMEM201	7
PIK3CD	394
PIK3CD-AS1	0
ENSG00000233268	0
PIK3CD-AS2	3
CLSTN1	64
MZT1P1	6
ENSG00000280113	0
CTNNBIP1	47
ENSG00000223989	0
ENSG00000285701	0
LZIC	377
ENSG00000228150	0
NMNAT1	32
RN7SKP269	0
TMEM274P	0
MIR5697	0
ENSG00000241326	0
RBP7	169
UBE4B	256
ENSG00000224340	0
PGAM1P11	0
RNU6-828P	0
KIF1B	365
ENSG00000264881	0
RNU6-37P	5
RN7SL731P	0
ENSG00000284735	1
ENSG00000284642	0
PGD	566
ENSG00000271989	0
CENPS-CORT	0
CENPS	0
CORT	0
DFFA	121
ENSG00000203469	0
PEX14	27
ENSG00000287727	0
RN7SL614P	0
CASZ1	22
ENSG00000272078	3
HSPE1P24	0
C1orf127	7
CFL1P6	0
TARDBP	209
MASP2	0
SRM	52
EXOSC10	71
ENSG00000226849	0
EXOSC10-AS1	0
MTOR	114
MTOR-AS1	0
RNU6-537P	0
ANGPTL7	0
RNU6-291P	0
RPL39P6	0
UBIAD1	22
UBE2V2P3	0
ENSG00000284646	0
MTCYBP45	0
DISP3	5
ENSG00000285833	0
LINC01647	0
ENSG00000284708	0
FBXO2	0
FBXO44	28
FBXO6	3
MAD2L2	89
DRAXIN	8
AGTRAP	26
C1orf167	1
C1orf167-AS1	0
MTHFR	57
CLCN6	13
ENSG00000276470	0
ENSG00000278852	0
NPPA	0
ENSG00000275915	0
NPPB	0
SBF1P2	0
ENSG00000285646	9
RNU5E-1	0
RNU5E-4P	0
KIAA2013	6
PLOD1	16
ENSG00000287384	0
MFN2	419
ENSG00000270914	0
MIIP	16
MIR6729	0
RN7SL649P	0
TNFRSF8	26
RNU6-777P	0
RPL23AP89	0
ENSG00000285604	0
MIR7846	0
TNFRSF1B	120
MIR4632	0
RPL10P17	0
SNORA70	0
VPS13D	237
SNORA59A	0
LINC02766	1
DHRS3	96
RNU6ATAC18P	0
MIR6730	0
ENSG00000288927	5
ENSG00000272482	0
AADACL4	17
ENSG00000226166	0
AADACL3	8
CFAP107	0
PRAMEF12	0
PRAMEF1	0
LINC01784	0
PRAMEF11	0
PRAMEF30P	12
HNRNPCL1	0
PRAMEF2	0
PRAMEF4	0
PRAMEF10	0
PRAMEF7	0
RNU6-1072P	0
PRAMEF29P	0
PRAMEF6	7
PRAMEF28P	0
PRAMEF27	0
HNRNPCL3	0
PRAMEF25	0
PRAMEF34P	0
PRAMEF35P	3
HNRNPCL2	0
PRAMEF36P	0
ENSG00000233336	0
PRAMEF26	0
HNRNPCL4	0
PRAMEF9	0
PRAMEF13	0
PRAMEF18	0
PRAMEF31P	0
PRAMEF5	0
PRAMEF32P	0
