Geneid	/mnt/efs/clusterfcs/data/tfm-esther/procesado-2/duplicates/PP055_sorted_q10_mrkDup.bam
DDX11L1	98
WASH7P	1
MIR6859-1	0
MIR1302-2HG	0
MIR1302-2	0
FAM138A	0
OR4G4P	0
OR4G11P	0
OR4F5	0
ENSG00000238009	0
ENSG00000239945	0
CICP27	0
ENSG00000268903	0
ENSG00000269981	0
ENSG00000239906	0
ENSG00000241860	22
RNU6-1100P	0
ENSG00000241599	0
DDX11L17	161
WASH9P	2
MIR6859-2	0
ENSG00000228463	3
ENSG00000286448	0
RPL23AP24	0
ENSG00000236601	0
ENSG00000237094	56
WBP1LP7	0
OR4F29	0
CICP7	3
ENSG00000250575	15
U6	3
ENSG00000230021	2
ENSG00000235146	0
MTND1P23	73
MTND2P28	7211
MTCO1P12	659
ENSG00000278791	0
MTCO2P12	43
MTATP8P1	9
MTATP6P1	29719
MTCO3P12	22
WBP1LP6	0
OR4F16	0
CICP3	0
ENSG00000228327	19
RNU6-1199P	0
ENSG00000229905	0
LINC01409	1
ENSG00000285268	0
ENSG00000230092	112
FAM87B	0
LINC01128	20
LINC00115	2
ENSG00000288531	0
FAM41C	0
TUBB8P11	0
ENSG00000283040	0
ENSG00000272438	1
ENSG00000230699	1
ENSG00000241180	0
LINC02593	0
SAMD11	0
NOC2L	31
KLHL17	0
PLEKHN1	5
PERM1	0
ENSG00000272512	0
HES4	5
ISG15	35
ENSG00000231702	0
ENSG00000224969	0
AGRN	4
ENSG00000242590	0
ENSG00000217801	1
ENSG00000273443	0
RNF223	0
C1orf159	1
ENSG00000285812	0
LINC01342	0
MIR200B	0
MIR200A	0
MIR429	0
ENSG00000272141	0
TTLL10-AS1	0
TTLL10	0
TNFRSF18	0
TNFRSF4	0
SDF4	141
B3GALT6	2
C1QTNF12	0
ENSG00000260179	0
UBE2J2	107
LINC01786	0
SCNN1D	1
ACAP3	27
MIR6726	0
PUSL1	0
INTS11	39
MIR6727	0
ENSG00000240731	0
CPTP	27
TAS1R3	0
