Geneid	/mnt/efs/clusterfcs/data/tfm-esther/results/procesado-1/duplicates/PP004_sorted_q10_mrkDup.bam
DDX11L1	1
WASH7P	0
MIR6859-1	0
MIR1302-2HG	3
MIR1302-2	0
FAM138A	0
OR4G4P	0
OR4G11P	0
OR4F5	0
ENSG00000238009	0
ENSG00000239945	0
CICP27	0
ENSG00000268903	0
ENSG00000269981	1
ENSG00000239906	0
ENSG00000241860	0
RNU6-1100P	0
ENSG00000241599	0
DDX11L17	11
WASH9P	3
MIR6859-2	0
ENSG00000228463	0
ENSG00000286448	0
RPL23AP24	0
ENSG00000236601	0
ENSG00000237094	1
WBP1LP7	0
OR4F29	0
CICP7	2
ENSG00000250575	0
U6	7
ENSG00000230021	0
ENSG00000235146	0
MTND1P23	31
MTND2P28	2707
MTCO1P12	189
ENSG00000278791	0
MTCO2P12	26
MTATP8P1	2
MTATP6P1	5794
MTCO3P12	32
WBP1LP6	0
OR4F16	0
CICP3	0
ENSG00000228327	0
RNU6-1199P	0
ENSG00000229905	0
LINC01409	3
ENSG00000285268	0
ENSG00000230092	71
FAM87B	0
LINC01128	3
LINC00115	1
ENSG00000288531	4
FAM41C	0
TUBB8P11	0
ENSG00000283040	0
ENSG00000272438	3
ENSG00000230699	14
ENSG00000241180	0
LINC02593	0
SAMD11	5
NOC2L	49
KLHL17	1
PLEKHN1	0
PERM1	1
ENSG00000272512	8
HES4	8
ISG15	24
ENSG00000231702	0
ENSG00000224969	0
AGRN	13
ENSG00000242590	0
ENSG00000217801	0
ENSG00000273443	0
RNF223	0
C1orf159	4
ENSG00000285812	0
LINC01342	5
MIR200B	0
MIR200A	0
MIR429	0
ENSG00000272141	0
TTLL10-AS1	0
TTLL10	0
TNFRSF18	2
TNFRSF4	4
SDF4	80
B3GALT6	9
C1QTNF12	2
ENSG00000260179	3
UBE2J2	70
LINC01786	0
SCNN1D	0
ACAP3	10
MIR6726	0
PUSL1	10
INTS11	57
MIR6727	0
ENSG00000240731	0
CPTP	17
TAS1R3	0
DVL1	11
MIR6808	0
MXRA8	5
AURKAIP1	83
NDUFB4P8	0
CCNL2	34
MRPL20-AS1	4
MRPL20	80
RN7SL657P	0
MRPL20-DT	0
ANKRD65	4
ANKRD65-AS1	0
TMEM88B	0
LINC01770	0
VWA1	5
ATAD3C	14
ATAD3B	1
ENSG00000284740	0
ATAD3A	16
TMEM240	4
SSU72	228
ENSG00000215014	0
ENSG00000274481	0
FNDC10	7
ENSG00000286989	2
ENSG00000272106	0
MIB2	17
MMP23B	0
CDK11B	99
ENSG00000272004	0
SLC35E2B	22
ENSG00000269737	0
MMP23A	0
CDK11A	0
ENSG00000268575	0
ENSG00000227775	0
SLC35E2A	9
NADK	103
GNB1	1758
GNB1-DT	8
CALML6	0
TMEM52	0
CFAP74	19
ENSG00000233542	0
GABRD	9
PRKCZ-DT	1
PRKCZ	10
ENSG00000271806	4
PRKCZ-AS1	0
FAAP20	36
ENSG00000234396	0
SKI	119
ENSG00000287356	3
MORN1	19
ENSG00000272161	0
ENSG00000269896	2
ENSG00000272420	0
RER1	21
PEX10	7
PLCH2	2
ENSG00000224387	0
ENSG00000229393	0
PANK4	9
HES5	1
ENSG00000272449	18
TNFRSF14-AS1	0
TNFRSF14	80
ENSG00000225931	10
ENSG00000228037	0
ENSG00000289610	0
PRXL2B	47
MMEL1	10
MMEL1-AS1	0
TTC34	4
ENSG00000285945	0
ENSG00000283259	0
ENSG00000233234	0
ENSG00000287396	0
ENSG00000231630	0
ENSG00000284745	0
ACTRT2	0
