Geneid	/mnt/efs/clusterfcs/data/tfm-esther/results/procesado-1/duplicates/PP003_sorted_q10_mrkDup.bam
DDX11L1	4
WASH7P	0
MIR6859-1	0
MIR1302-2HG	0
MIR1302-2	0
FAM138A	0
OR4G4P	0
OR4G11P	0
OR4F5	0
ENSG00000238009	0
ENSG00000239945	0
CICP27	0
ENSG00000268903	0
ENSG00000269981	0
ENSG00000239906	0
ENSG00000241860	10
RNU6-1100P	0
ENSG00000241599	0
DDX11L17	3
WASH9P	6
MIR6859-2	0
ENSG00000228463	0
ENSG00000286448	0
RPL23AP24	0
ENSG00000236601	0
ENSG00000237094	3
WBP1LP7	0
OR4F29	0
CICP7	1
ENSG00000250575	0
U6	3
ENSG00000230021	4
ENSG00000235146	0
MTND1P23	2411
MTND2P28	1238
MTCO1P12	84
ENSG00000278791	0
MTCO2P12	15
MTATP8P1	0
MTATP6P1	4136
MTCO3P12	6
WBP1LP6	0
OR4F16	0
CICP3	0
ENSG00000228327	21
RNU6-1199P	0
ENSG00000229905	0
LINC01409	5
ENSG00000285268	0
ENSG00000230092	124
FAM87B	0
LINC01128	45
LINC00115	1
ENSG00000288531	0
FAM41C	0
TUBB8P11	0
ENSG00000283040	0
ENSG00000272438	11
ENSG00000230699	30
ENSG00000241180	0
LINC02593	1
SAMD11	17
NOC2L	89
KLHL17	7
PLEKHN1	2
PERM1	0
ENSG00000272512	0
HES4	7
ISG15	73
ENSG00000231702	0
ENSG00000224969	0
AGRN	33
ENSG00000242590	0
ENSG00000217801	1
ENSG00000273443	0
RNF223	4
C1orf159	3
ENSG00000285812	0
LINC01342	7
MIR200B	0
MIR200A	0
MIR429	0
ENSG00000272141	2
TTLL10-AS1	0
TTLL10	5
TNFRSF18	7
TNFRSF4	0
SDF4	128
B3GALT6	10
C1QTNF12	2
ENSG00000260179	4
UBE2J2	47
LINC01786	1
SCNN1D	5
ACAP3	23
MIR6726	0
PUSL1	18
INTS11	83
MIR6727	0
ENSG00000240731	0
CPTP	5
TAS1R3	2
DVL1	38
MIR6808	0
MXRA8	7
AURKAIP1	121
NDUFB4P8	0
CCNL2	18
MRPL20-AS1	10
MRPL20	94
RN7SL657P	0
MRPL20-DT	0
ANKRD65	9
ANKRD65-AS1	0
TMEM88B	1
LINC01770	0
VWA1	12
ATAD3C	15
ATAD3B	3
ENSG00000284740	0
ATAD3A	20
TMEM240	9
SSU72	315
ENSG00000215014	5
ENSG00000274481	0
FNDC10	12
ENSG00000286989	3
ENSG00000272106	1
MIB2	28
MMP23B	0
CDK11B	222
ENSG00000272004	0
SLC35E2B	41
ENSG00000269737	0
MMP23A	0
CDK11A	2
ENSG00000268575	12
ENSG00000227775	1
SLC35E2A	0
NADK	185
GNB1	2086
GNB1-DT	7
CALML6	0
TMEM52	0
CFAP74	7
ENSG00000233542	0
GABRD	2
PRKCZ-DT	1
PRKCZ	20
ENSG00000271806	4
PRKCZ-AS1	0
FAAP20	30
ENSG00000234396	0
SKI	175
ENSG00000287356	1
MORN1	17
ENSG00000272161	0
ENSG00000269896	1
ENSG00000272420	0
RER1	45
PEX10	23
PLCH2	14
ENSG00000224387	2
ENSG00000229393	0
PANK4	16
HES5	6
ENSG00000272449	11
TNFRSF14-AS1	1
TNFRSF14	110
ENSG00000225931	1
ENSG00000228037	4
ENSG00000289610	0
PRXL2B	45
MMEL1	5
MMEL1-AS1	0
TTC34	6
ENSG00000285945	0
ENSG00000283259	0
ENSG00000233234	0
ENSG00000287396	1
ENSG00000231630	1
ENSG00000284745	0
ACTRT2	1
PRDM16-DT	11
PRDM16	25
MIR4251	0
ENSG00000226286	1
ENSG00000279839	0
ENSG00000272235	18
ENSG00000287828	0
ENSG00000286518	17
ARHGEF16	6
ENSG00000272088	0
MEGF6	15
MIR551A	0
ENSG00000238260	1
TPRG1L	77
WRAP73	20
TP73	10
TP73-AS3	0
TP73-AS2	0
TP73-AS1	8
ENSG00000276189	0
CCDC27	8
SMIM1	9
LRRC47	81
RN7SL574P	0
ENSG00000272153	0
CEP104	108
DFFB	17
C1orf174	27
LINC01134	0
LINC01346	1
LINC01345	1
LINC02780	0
ENSG00000284703	0
EEF1DP6	0
LINC01777	0
ENSG00000284694	1
ENSG00000227169	0
LINC01646	1
AJAP1	10
ENSG00000287586	0
ENSG00000284739	0
LINC02781	0
LINC02782	0
ENSG00000284616	0
ENSG00000284692	0
ENSG00000284666	6
ENSG00000260972	3
ENSG00000283356	0
ENSG00000236948	0
ENSG00000264341	2
MIR4689	0
NPHP4	38
KCNAB2	253
CHD5	47
ENSG00000285629	0
RPL22	2365
RNF207-AS1	1
RNF207	6
ICMT	45
ICMT-DT	0
HES3	0
GPR153	13
ACOT7	56
ENSG00000271746	0
HES2	3
ESPN	137
MIR4252	0
ENSG00000231868	0
TNFRSF25	0
PLEKHG5	15
NOL9	91
RNU6-731P	0
ENSG00000229519	0
TAS1R1	0
ZBTB48	14
KLHL21	19
PHF13	38
THAP3	9
DNAJC11	56
LINC01672	0
ENSG00000284744	0
CAMTA1-DT	2
CAMTA1	277
ENSG00000227950	0
ENSG00000237365	0
RNU1-8P	0
CAMTA1-IT1	0
CAMTA1-AS2	0
CAMTA1-AS1	0
ENSG00000270171	1
ENSG00000270035	0
ENSG00000269978	0
VAMP3	649
ENSG00000269925	4
PER3	91
ENSG00000236266	0
UTS2	43
TNFRSF9	5
ENSG00000270330	0
PARK7	344
Y_RNA	9393
ENSG00000284747	4
ENSG00000284716	0
ERRFI1	19
ERRFI1-DT	1
ENSG00000232848	0
ENSG00000229305	0
ENSG00000288816	0
LINC01714	0
RNU1-7P	14
ENSG00000233645	7
RNU6-991P	0
SLC45A1	1
RERE	396
RERE-AS1	0
ENSG00000221083	0
ENSG00000270282	0
RPL7P11	0
RPL7P7	0
ENSG00000226545	0
ENSG00000228423	0
RPL23AP19	0
ENO1	1038
MIR6728	0
ENO1-AS1	2
RNU6-304P	0
HMGN2P17	0
ENSG00000232208	0
ENSG00000232663	0
CA6	0
RN7SL451P	0
SLC2A7	0
SLC2A5	19
ENSG00000252404	1
GPR157	0
MIR34AHG	22
MIR34A	0
LNCTAM34A	1
H6PD	19
SPSB1	55
ENSG00000284652	0
LINC02606	2
RNA5SP40	0
ENSG00000235263	0
SLC25A33	5
ENSG00000231181	0
TMEM201	17
PIK3CD	300
PIK3CD-AS1	6
ENSG00000233268	0
PIK3CD-AS2	17
CLSTN1	43
MZT1P1	0
ENSG00000280113	0
CTNNBIP1	115
ENSG00000223989	0
ENSG00000285701	2
LZIC	490
ENSG00000228150	3
NMNAT1	14
RN7SKP269	0
TMEM274P	0
MIR5697	0
ENSG00000241326	0
RBP7	103
UBE4B	153
ENSG00000224340	0
PGAM1P11	0
RNU6-828P	0
KIF1B	151
ENSG00000264881	0
RNU6-37P	16
RN7SL731P	0
ENSG00000284735	0
ENSG00000284642	0
PGD	433
ENSG00000271989	0
CENPS-CORT	0
CENPS	10
CORT	0
DFFA	44
ENSG00000203469	0
PEX14	36
ENSG00000287727	0
RN7SL614P	0
CASZ1	27
ENSG00000272078	6
HSPE1P24	0
C1orf127	0
CFL1P6	0
TARDBP	200
MASP2	1
SRM	53
EXOSC10	143
ENSG00000226849	0
EXOSC10-AS1	0
MTOR	69
MTOR-AS1	0
RNU6-537P	0
ANGPTL7	0
RNU6-291P	0
RPL39P6	1
UBIAD1	4
UBE2V2P3	1
ENSG00000284646	0
MTCYBP45	0
DISP3	0
ENSG00000285833	0
LINC01647	1
ENSG00000284708	0
FBXO2	5
FBXO44	14
FBXO6	19
MAD2L2	117
DRAXIN	4
AGTRAP	45
C1orf167	7
C1orf167-AS1	0
MTHFR	86
CLCN6	38
ENSG00000276470	0
ENSG00000278852	0
NPPA	0
ENSG00000275915	0
NPPB	0
SBF1P2	0
ENSG00000285646	21
RNU5E-1	0
RNU5E-4P	5
KIAA2013	47
PLOD1	15
ENSG00000287384	2
MFN2	271
ENSG00000270914	0
MIIP	26
MIR6729	0
RN7SL649P	0
TNFRSF8	17
RNU6-777P	0
RPL23AP89	0
ENSG00000285604	0
MIR7846	0
TNFRSF1B	74
MIR4632	0
RPL10P17	0
SNORA70	3
VPS13D	265
SNORA59A	0
LINC02766	9
DHRS3	52
RNU6ATAC18P	0
MIR6730	0
ENSG00000288927	13
ENSG00000272482	0
AADACL4	0
ENSG00000226166	0
AADACL3	2
CFAP107	1
PRAMEF12	0
PRAMEF1	0
LINC01784	0
PRAMEF11	0
PRAMEF30P	0
HNRNPCL1	0
PRAMEF2	0
PRAMEF4	1
PRAMEF10	0
PRAMEF7	0
RNU6-1072P	0
PRAMEF29P	0
PRAMEF6	0
PRAMEF28P	0
