Geneid	/mnt/efs/clusterfcs/data/tfm-esther/results/procesado-1/duplicates/PP019_sorted_q10_mrkDup.bam
DDX11L1	23
WASH7P	9
MIR6859-1	0
MIR1302-2HG	7
MIR1302-2	0
FAM138A	0
OR4G4P	0
OR4G11P	0
OR4F5	0
ENSG00000238009	0
ENSG00000239945	0
CICP27	0
ENSG00000268903	6
ENSG00000269981	0
ENSG00000239906	0
ENSG00000241860	0
RNU6-1100P	0
ENSG00000241599	0
DDX11L17	46
WASH9P	6
MIR6859-2	0
ENSG00000228463	9
ENSG00000286448	1
RPL23AP24	0
ENSG00000236601	0
ENSG00000237094	0
WBP1LP7	0
OR4F29	1
CICP7	0
ENSG00000250575	0
U6	2
ENSG00000230021	7
ENSG00000235146	0
MTND1P23	32
MTND2P28	1903
MTCO1P12	203
ENSG00000278791	0
MTCO2P12	27
MTATP8P1	2
MTATP6P1	71
MTCO3P12	18
WBP1LP6	0
OR4F16	0
CICP3	0
ENSG00000228327	2
RNU6-1199P	0
ENSG00000229905	0
LINC01409	6
ENSG00000285268	0
ENSG00000230092	60
FAM87B	0
LINC01128	2
LINC00115	5
ENSG00000288531	3
FAM41C	0
TUBB8P11	0
ENSG00000283040	0
ENSG00000272438	7
ENSG00000230699	11
ENSG00000241180	0
LINC02593	2
SAMD11	2
NOC2L	21
KLHL17	2
PLEKHN1	3
PERM1	0
ENSG00000272512	0
HES4	8
ISG15	50
ENSG00000231702	0
ENSG00000224969	0
AGRN	6
ENSG00000242590	0
ENSG00000217801	3
ENSG00000273443	0
RNF223	0
C1orf159	5
ENSG00000285812	2
LINC01342	3
MIR200B	0
MIR200A	0
MIR429	0
ENSG00000272141	0
TTLL10-AS1	1
TTLL10	5
TNFRSF18	5
TNFRSF4	0
SDF4	87
B3GALT6	10
C1QTNF12	0
ENSG00000260179	8
UBE2J2	31
LINC01786	0
SCNN1D	8
ACAP3	6
MIR6726	0
PUSL1	5
INTS11	63
MIR6727	0
ENSG00000240731	0
CPTP	7
TAS1R3	1
DVL1	5
MIR6808	0
MXRA8	1
AURKAIP1	49
NDUFB4P8	0
CCNL2	21
MRPL20-AS1	5
MRPL20	47
RN7SL657P	0
MRPL20-DT	0
ANKRD65	3
ANKRD65-AS1	0
TMEM88B	0
LINC01770	1
VWA1	6
ATAD3C	15
ATAD3B	2
ENSG00000284740	0
ATAD3A	12
TMEM240	1
SSU72	168
ENSG00000215014	2
ENSG00000274481	0
FNDC10	2
ENSG00000286989	0
ENSG00000272106	2
MIB2	31
MMP23B	0
CDK11B	66
ENSG00000272004	0
SLC35E2B	24
ENSG00000269737	2
MMP23A	0
CDK11A	1
ENSG00000268575	7
ENSG00000227775	5
SLC35E2A	5
NADK	86
GNB1	1406
GNB1-DT	14
CALML6	0
TMEM52	0
CFAP74	26
ENSG00000233542	1
GABRD	13
PRKCZ-DT	0
PRKCZ	7
ENSG00000271806	1
PRKCZ-AS1	1
FAAP20	32
ENSG00000234396	0
SKI	112
ENSG00000287356	0
MORN1	11
ENSG00000272161	0
ENSG00000269896	4
ENSG00000272420	0
RER1	17
PEX10	7
PLCH2	17
ENSG00000224387	0
ENSG00000229393	1
PANK4	8
HES5	1
ENSG00000272449	9
TNFRSF14-AS1	12
TNFRSF14	94
ENSG00000225931	0
ENSG00000228037	0
ENSG00000289610	0
PRXL2B	10
MMEL1	2
MMEL1-AS1	0
TTC34	5
ENSG00000285945	0
ENSG00000283259	1
ENSG00000233234	1
ENSG00000287396	0
ENSG00000231630	0
ENSG00000284745	1
ACTRT2	6
PRDM16-DT	2
PRDM16	10
MIR4251	0
ENSG00000226286	0
ENSG00000279839	0
ENSG00000272235	7
ENSG00000287828	0
ENSG00000286518	1
ARHGEF16	0
ENSG00000272088	0
MEGF6	12
MIR551A	0
ENSG00000238260	6
TPRG1L	68
WRAP73	10
TP73	2
TP73-AS3	1
TP73-AS2	0
TP73-AS1	7
ENSG00000276189	0
CCDC27	5
SMIM1	4
LRRC47	13
RN7SL574P	0
ENSG00000272153	0
CEP104	49
DFFB	8
C1orf174	30
LINC01134	6
LINC01346	5
LINC01345	3
LINC02780	1
ENSG00000284703	5
EEF1DP6	0
LINC01777	1
ENSG00000284694	2
ENSG00000227169	0
LINC01646	0
AJAP1	14
ENSG00000287586	1
ENSG00000284739	5
LINC02781	0
LINC02782	6
ENSG00000284616	0
ENSG00000284692	4
ENSG00000284666	4
ENSG00000260972	0
ENSG00000283356	0
ENSG00000236948	3
ENSG00000264341	0
MIR4689	0
NPHP4	17
KCNAB2	119
CHD5	14
ENSG00000285629	0
RPL22	675
RNF207-AS1	0
RNF207	5
ICMT	34
ICMT-DT	2
HES3	0
GPR153	2
ACOT7	36
ENSG00000271746	0
HES2	5
ESPN	5
MIR4252	0
ENSG00000231868	1
TNFRSF25	4
PLEKHG5	14
NOL9	55
RNU6-731P	0
ENSG00000229519	0
TAS1R1	0
ZBTB48	9
KLHL21	10
PHF13	4
THAP3	5
DNAJC11	64
LINC01672	8
ENSG00000284744	0
CAMTA1-DT	0
CAMTA1	367
ENSG00000227950	0
ENSG00000237365	0
RNU1-8P	2
CAMTA1-IT1	1
CAMTA1-AS2	1
CAMTA1-AS1	0
ENSG00000270171	6
ENSG00000270035	0
ENSG00000269978	0
VAMP3	549
ENSG00000269925	0
PER3	43
ENSG00000236266	0
UTS2	8
TNFRSF9	6
ENSG00000270330	0
PARK7	344
Y_RNA	11323
ENSG00000284747	2
ENSG00000284716	0
ERRFI1	5
ERRFI1-DT	4
ENSG00000232848	1
ENSG00000229305	0
ENSG00000288816	5
LINC01714	0
RNU1-7P	6
ENSG00000233645	4
RNU6-991P	0
SLC45A1	10
RERE	278
RERE-AS1	0
ENSG00000221083	0
ENSG00000270282	0
RPL7P11	0
RPL7P7	13
ENSG00000226545	1
ENSG00000228423	0
RPL23AP19	0
ENO1	589
MIR6728	0
ENO1-AS1	0
RNU6-304P	0
HMGN2P17	0
ENSG00000232208	0
ENSG00000232663	0
CA6	0
RN7SL451P	0
SLC2A7	2
SLC2A5	12
ENSG00000252404	0
GPR157	11
MIR34AHG	4
MIR34A	0
LNCTAM34A	8
H6PD	23
SPSB1	24
ENSG00000284652	0
LINC02606	4
RNA5SP40	0
ENSG00000235263	1
SLC25A33	11
ENSG00000231181	0
TMEM201	3
PIK3CD	98
PIK3CD-AS1	4
ENSG00000233268	3
PIK3CD-AS2	3
CLSTN1	32
MZT1P1	0
ENSG00000280113	2
CTNNBIP1	67
ENSG00000223989	0
ENSG00000285701	1
LZIC	361
ENSG00000228150	0
NMNAT1	17
RN7SKP269	0
TMEM274P	0
MIR5697	0
ENSG00000241326	0
RBP7	32
UBE4B	135
ENSG00000224340	0
PGAM1P11	0
RNU6-828P	0
KIF1B	119
ENSG00000264881	0
RNU6-37P	4
RN7SL731P	0
ENSG00000284735	14
ENSG00000284642	1
PGD	392
ENSG00000271989	0
CENPS-CORT	0
CENPS	0
CORT	0
DFFA	37
ENSG00000203469	0
PEX14	11
ENSG00000287727	3
RN7SL614P	0
CASZ1	15
ENSG00000272078	0
HSPE1P24	0
C1orf127	7
CFL1P6	0
TARDBP	108
MASP2	7
SRM	20
EXOSC10	73
ENSG00000226849	0
EXOSC10-AS1	0
MTOR	37
MTOR-AS1	0
RNU6-537P	0
ANGPTL7	0
RNU6-291P	0
RPL39P6	5
UBIAD1	2
UBE2V2P3	0
ENSG00000284646	1
MTCYBP45	0
DISP3	8
ENSG00000285833	0
LINC01647	1
ENSG00000284708	2
FBXO2	4
FBXO44	11
FBXO6	16
MAD2L2	29
DRAXIN	7
AGTRAP	11
C1orf167	6
C1orf167-AS1	0
MTHFR	17
CLCN6	52
ENSG00000276470	0
ENSG00000278852	0
NPPA	2
ENSG00000275915	0
NPPB	0
SBF1P2	0
ENSG00000285646	5
RNU5E-1	0
RNU5E-4P	3
KIAA2013	15
PLOD1	27
ENSG00000287384	1
MFN2	1032
ENSG00000270914	0
MIIP	6
MIR6729	0
RN7SL649P	0
TNFRSF8	2
RNU6-777P	0
RPL23AP89	0
ENSG00000285604	0
MIR7846	0
TNFRSF1B	39
MIR4632	0
RPL10P17	0
SNORA70	0
VPS13D	145
SNORA59A	0
LINC02766	9
DHRS3	131
RNU6ATAC18P	0
MIR6730	0
ENSG00000288927	11
ENSG00000272482	0
AADACL4	3
ENSG00000226166	0
AADACL3	7
CFAP107	1
PRAMEF12	0
PRAMEF1	2
LINC01784	0
PRAMEF11	5
PRAMEF30P	0
HNRNPCL1	1
PRAMEF2	0
PRAMEF4	0
PRAMEF10	1
PRAMEF7	0
RNU6-1072P	0
PRAMEF29P	0
PRAMEF6	0
PRAMEF28P	0
PRAMEF27	0
HNRNPCL3	2
PRAMEF25	1
PRAMEF34P	0
PRAMEF35P	0
HNRNPCL2	0
PRAMEF36P	0
ENSG00000233336	0
PRAMEF26	1
HNRNPCL4	0
PRAMEF9	0
PRAMEF13	0
PRAMEF18	0
PRAMEF31P	0
PRAMEF5	0
PRAMEF32P	0
RNU6-771P	0
PRAMEF8	0
PRAMEF33	0
PRAMEF15	0
ENSG00000228229	0
PRAMEF14	0
PRAMEF19	0
PRAMEF17	0
PRAMEF20	0
LRRC38	0
ENSG00000259961	0
BRWD1P1	0
PDPN	4
RNA5SP41	0
ENSG00000237445	0
ENSG00000253085	0
PRDM2	248
ENSG00000289380	0
KAZN	38
RNU6-1265P	0
ENSG00000231606	0
KAZN-AS1	20
TBCAP2	1
ENSG00000287756	2
TMEM51-AS1	4
TMEM51	2
TMEM51-AS2	0
MFFP1	0
ZBTB2P1	1
FHAD1	29
FHAD1-AS1	0
ENSG00000236045	0
EFHD2-AS1	3
EFHD2	460
CTRC	15
CELA2A	0
CELA2B	0
CASP9	29
DNAJC16	212
SCARNA21B	0
ENSG00000272510	0
AGMAT	8
ENSG00000237301	1
CHCHD2P6	0
RNU7-179P	0
CD24P1	0
DDI2	84
RSC1A1	0
ENSG00000271742	0
PLEKHM2	64
ENSG00000237938	0
SLC25A34	3
SLC25A34-AS1	0
TMEM82	0
FBLIM1	5
RPL12P14	0
UQCRHL	21
ENSG00000178715	2
FLJ37453	9
SPEN	322
ENSG00000270620	0
ZBTB17	12
ENSG00000234607	5
ENSG00000231353	0
ENSG00000275503	7
TBC1D3P6	0
SRARP	0
ENSG00000233078	0
HSPB7	12
CLCNKA	4
ENSG00000232456	0
CLCNKB	8
FAM131C	14
EPHA2	3
EPHA2-AS1	3
ENSG00000224621	0
ARHGEF19-AS1	0
ARHGEF19	10
ANO7L1	1
ENSG00000288398	10
CPLANE2	0
MT1XP1	0
FBXO42	30
SZRD1	94
RPL22P3	4
SPATA21	0
NECAP2	116
LINC01772	2
CROCCP3	4
RNU1-1	2
ENSG00000261135	0
ENSG00000285853	0
ENSG00000224174	0
LINC01783	0
RNU1-6P	0
PDE4DIPP8	0
NBPF1	31
ENSG00000271732	3
CROCCP2	6
ENSG00000283773	0
MST1P2	0
ENSG00000282143	0
RNU1-3	0
ENSG00000280114	0
EIF1AXP1	1
ESPNP	7
ENSG00000279151	0
ENSG00000282740	0
CROCC	23
CROCCP4	0
RNU1-4	2
MST1L	6
ENSG00000223643	0
PDE4DIPP9	0
MIR3675	0
ENSG00000228549	9
RNU1-5P	0
ENSG00000238142	3
ENSG00000235241	0
RNU1-2	0
ENSG00000272426	0
MFAP2	0
ENSG00000286898	0
ENSG00000226526	4
ATP13A2	8
ENSG00000288636	0
SDHB	44
PADI2	18
LINC02783	0
ENSG00000282843	0
PADI1	7
PADI3	0
MIR3972	0
PADI4	280
PADI6	2
RCC2-AS1	0
RCC2	85
ARHGEF10L	13
LINC02810	0
ACTL8	2
ENSG00000284653	3
LINC01654	1
IGSF21	9
ENSG00000280222	5
IGSF21-AS1	0
ENSG00000225387	0
KLHDC7A	4
DYNLL1P3	0
ENSG00000225478	0
PAX7	3
TAS1R2	1
ALDH4A1	9
MIR4695	0
MIR1290	0
IFFO2	29
ENSG00000272084	0
UBR4	289
EMC1-AS1	0
EMC1	17
MRTO4	11
ENSG00000286064	0
AKR7L	3
AKR7A3	0
ENSG00000270728	5
AKR7A2	40
RNU6-1099P	1
SLC66A1	8
CAPZB	679
RN7SL277P	2
MICOS10	30
RNU4-28P	0
MICOS10-DT	3
NBL1	7
MICOS10-NBL1	0
ENSG00000226396	2
HTR6	8
TMCO4	26
RNF186	5
RNF186-AS1	0
OTUD3	16
PLA2G2E	0
RN7SL304P	0
PLA2G2A	10
PLA2G5	7
PLA2G2D	0
PLA2G2F	6
ENSG00000227066	0
PLA2G2C	2
UBXN10	0
LINC01757	1
ENSG00000284710	0
VWA5B1	21
ENSG00000226664	0
LINC01141	15
ENSG00000226487	0
ENSG00000284641	1
ENSG00000284743	0
CAMK2N1	4
ENSG00000289402	0
MUL1	4
RPS4XP4	0
FAM43B	2
CDA	10
PINK1	27
MIR6084	0
PINK1-AS	1
DDOST	43
KIF17	15
ENSG00000235432	0
SH2D5	1
ENSG00000233069	0
HP1BP3	552
EIF4G3	1592
RNU7-200P	0
MIR1256	0
RPS15AP6	0
ENSG00000236073	2
HSPE1P27	0
ENSG00000287192	4
ECE1	226
ENSG00000236936	26
ECE1-AS1	1
PPP1R11P1	0
PDE4DIPP10	0
ENSG00000236009	0
NBPF2P	5
HS6ST1P1	0
CROCCP5	0
NBPF3	72
PFN1P10	0
ALPL	3
ENSG00000289715	0
LINC02596	0
RAP1GAP	11
USP48	338
ENSG00000231978	0
LDLRAD2	6
HSPG2	35
ENSG00000232037	1
ENSG00000283234	0
CELA3B	4
ENSG00000285959	0
RN7SL386P	0
RNU6-1022P	0
CELA3A	0
RN7SL186P	0
RNU6-776P	0
LINC01635	4
LINC00339	0
ENSG00000289694	0
CDC42-AS1	2
ENSG00000285794	0
CDC42	43
CDC42-IT1	0
MPHOSPH6P1	0
WNT4	0
ENSG00000285873	1
MIR4418	0
PPIAP34	0
ENSG00000279625	0
ZBTB40	22
ZBTB40-IT1	0
EPHA8	4
MIR6127	0
C1QA	9
ENSG00000289692	0
C1QC	2
C1QB	13
EPHB2	7
MIR4684	0
ENSG00000225952	0
MIR4253	0
LACTBL1	1
TEX46	4
KDM1A	223
ENSG00000240553	0
MIR3115	0
ENSG00000266802	0
LUZP1	58
ENSG00000229010	4
RNU6-514P	0
RNU6-135P	0
ENSG00000289014	3
HTR1D	1
ENSG00000215381	0
LINC01355	1
ENSG00000284726	1
HNRNPR	276
ZNF436	17
ZNF436-AS1	4
ENSG00000271420	5
TCEA3	30
ENSG00000232482	0
ASAP3	1
E2F2	10
ENSG00000235052	0
ID3	9
ENSG00000285802	0
MDS2	5
ENSG00000229239	0
RPL11	1816
ELOA-AS1	2
ELOA	67
PITHD1	127
LYPLA2	24
GALE	2
HMGCL	39
FUCA1	18
CNR2	10
BTBD6P1	0
ENSG00000232557	0
MIR378F	0
H3P1	1
PNRC2	302
SRSF10	148
ENSG00000215905	0
ENSG00000225315	0
MYOM3	24
MYOM3-AS1	0
IL22RA1	6
IFNLR1	7
GRHL3	13
LINC02800	0
GRHL3-AS1	1
STPG1	18
NIPAL3	67
ENSG00000288982	0
RCAN3AS	5
RCAN3	391
NCMAP-DT	0
NCMAP	5
ENSG00000227312	0
SRRM1	323
ENSG00000284699	0
CLIC4	988
RNU6-1208P	1
RUNX3	178
MIR6731	0
RUNX3-AS1	0
ENSG00000261025	2
MIR4425	0
LINC02793	0
ENSG00000233755	4
IFITM3P7	0
ENSG00000231953	0
SYF2	486
ENSG00000284602	3
ENSG00000284657	0
RSRP1	73
ENSG00000272432	0
ENSG00000261349	0
RHD	103
SDHDP6	0
ENSG00000259984	1
TMEM50A	765
RHCE	10
ENSG00000238084	0
MACO1	31
LDLRAP1	470
ENSG00000225643	5
MAN1C1	6
ENSG00000233478	0
SELENON	38
ENSG00000255054	0
ENSG00000228172	0
MTFR1L	98
ENSG00000272478	0
AUNIP	6
ENSG00000236528	0
PAQR7	15
STMN1	32
SNRPFP2	3
ENSG00000223624	0
MIR3917	0
PAFAH2	8
RNU6-110P	0
ENSG00000252190	0
ENSG00000252691	0
EXTL1	11
SLC30A2	0
ENSG00000284309	2
TRIM63	2
PDIK1L	25
FAM110D	0
C1orf232	0
ZNF593OS	0
ZNF593	0
CNKSR1	5
CATSPER4	4
ZPLD2P	9
ENSG00000278572	1
CEP85	37
ENSG00000270733	0
SH3BGRL3	3401
UBXN11	49
CD52	185
CRYBG2	1
ENSG00000225854	0
ZNF683	0
LIN28A	1
DHDDS	43
ENSG00000223583	0
DHDDS-AS1	3
