Geneid	/mnt/efs/clusterfcs/data/tfm-esther/results/procesado-1/duplicates/PP015_sorted_q10_mrkDup.bam
DDX11L1	32
WASH7P	0
MIR6859-1	0
MIR1302-2HG	0
MIR1302-2	0
FAM138A	0
OR4G4P	0
OR4G11P	0
OR4F5	0
ENSG00000238009	0
ENSG00000239945	0
CICP27	0
ENSG00000268903	13
ENSG00000269981	0
ENSG00000239906	0
ENSG00000241860	0
RNU6-1100P	0
ENSG00000241599	0
DDX11L17	16
WASH9P	0
MIR6859-2	0
ENSG00000228463	20
ENSG00000286448	0
RPL23AP24	0
ENSG00000236601	0
ENSG00000237094	0
WBP1LP7	0
OR4F29	0
CICP7	4
ENSG00000250575	0
U6	1
ENSG00000230021	0
ENSG00000235146	0
MTND1P23	68
MTND2P28	131
MTCO1P12	149
ENSG00000278791	0
MTCO2P12	6
MTATP8P1	4
MTATP6P1	15994
MTCO3P12	12
WBP1LP6	0
OR4F16	0
CICP3	0
ENSG00000228327	4
RNU6-1199P	0
ENSG00000229905	0
LINC01409	0
ENSG00000285268	0
ENSG00000230092	72
FAM87B	0
LINC01128	6
LINC00115	1
ENSG00000288531	0
FAM41C	0
TUBB8P11	0
ENSG00000283040	0
ENSG00000272438	10
ENSG00000230699	19
ENSG00000241180	0
LINC02593	0
SAMD11	2
NOC2L	29
KLHL17	5
PLEKHN1	4
PERM1	0
ENSG00000272512	0
HES4	0
ISG15	20
ENSG00000231702	0
ENSG00000224969	0
AGRN	3
ENSG00000242590	0
ENSG00000217801	0
ENSG00000273443	0
RNF223	2
C1orf159	0
ENSG00000285812	0
LINC01342	3
MIR200B	0
MIR200A	0
MIR429	2
ENSG00000272141	0
TTLL10-AS1	0
TTLL10	8
TNFRSF18	15
TNFRSF4	0
SDF4	93
B3GALT6	0
C1QTNF12	0
ENSG00000260179	0
UBE2J2	49
LINC01786	0
SCNN1D	1
ACAP3	5
MIR6726	0
PUSL1	11
INTS11	70
MIR6727	0
ENSG00000240731	0
CPTP	10
TAS1R3	1
DVL1	7
MIR6808	0
MXRA8	3
AURKAIP1	52
NDUFB4P8	1
CCNL2	5
MRPL20-AS1	44
MRPL20	36
RN7SL657P	0
MRPL20-DT	0
ANKRD65	0
ANKRD65-AS1	0
TMEM88B	2
LINC01770	0
VWA1	2
ATAD3C	3
ATAD3B	2
ENSG00000284740	0
ATAD3A	12
TMEM240	0
SSU72	127
ENSG00000215014	30
ENSG00000274481	0
FNDC10	0
ENSG00000286989	0
ENSG00000272106	0
MIB2	2
MMP23B	0
CDK11B	109
ENSG00000272004	0
SLC35E2B	89
ENSG00000269737	0
MMP23A	0
CDK11A	1
ENSG00000268575	0
ENSG00000227775	0
SLC35E2A	7
NADK	120
GNB1	1965
GNB1-DT	3
CALML6	0
TMEM52	0
CFAP74	12
ENSG00000233542	0
GABRD	0
PRKCZ-DT	0
PRKCZ	27
ENSG00000271806	1
PRKCZ-AS1	0
FAAP20	31
ENSG00000234396	0
SKI	147
ENSG00000287356	0
MORN1	1
ENSG00000272161	0
ENSG00000269896	0
ENSG00000272420	0
RER1	16
PEX10	2
PLCH2	2
ENSG00000224387	0
ENSG00000229393	0
PANK4	4
HES5	0
ENSG00000272449	40
TNFRSF14-AS1	0
TNFRSF14	78
ENSG00000225931	0
ENSG00000228037	18
ENSG00000289610	0
PRXL2B	31
MMEL1	0
MMEL1-AS1	0
TTC34	12
ENSG00000285945	0
ENSG00000283259	0
ENSG00000233234	0
ENSG00000287396	0
ENSG00000231630	0
ENSG00000284745	0
ACTRT2	0
PRDM16-DT	6
PRDM16	3
MIR4251	0
ENSG00000226286	0
ENSG00000279839	0
ENSG00000272235	8
ENSG00000287828	0
ENSG00000286518	2
ARHGEF16	0
ENSG00000272088	0
MEGF6	2
MIR551A	0
ENSG00000238260	3
TPRG1L	199
WRAP73	7
TP73	2
TP73-AS3	0
TP73-AS2	0
TP73-AS1	23
ENSG00000276189	0
CCDC27	0
SMIM1	4
LRRC47	11
RN7SL574P	0
ENSG00000272153	0
CEP104	153
DFFB	13
C1orf174	5
LINC01134	0
LINC01346	0
LINC01345	0
LINC02780	0
ENSG00000284703	2
EEF1DP6	0
LINC01777	0
ENSG00000284694	0
ENSG00000227169	0
LINC01646	0
AJAP1	1
ENSG00000287586	0
ENSG00000284739	30
LINC02781	0
LINC02782	0
ENSG00000284616	0
ENSG00000284692	0
ENSG00000284666	2
ENSG00000260972	0
ENSG00000283356	0
ENSG00000236948	0
ENSG00000264341	0
MIR4689	0
NPHP4	3
KCNAB2	151
CHD5	4
ENSG00000285629	0
RPL22	974
RNF207-AS1	0
RNF207	1
ICMT	22
ICMT-DT	0
HES3	0
GPR153	2
ACOT7	146
ENSG00000271746	0
HES2	0
ESPN	43
MIR4252	0
ENSG00000231868	0
TNFRSF25	0
PLEKHG5	5
NOL9	46
RNU6-731P	0
ENSG00000229519	0
TAS1R1	0
ZBTB48	4
KLHL21	19
PHF13	2
THAP3	2
DNAJC11	71
LINC01672	0
ENSG00000284744	0
CAMTA1-DT	0
CAMTA1	449
ENSG00000227950	4
ENSG00000237365	0
RNU1-8P	4
CAMTA1-IT1	0
CAMTA1-AS2	0
CAMTA1-AS1	0
ENSG00000270171	0
ENSG00000270035	0
ENSG00000269978	0
VAMP3	559
ENSG00000269925	0
PER3	61
ENSG00000236266	0
UTS2	0
TNFRSF9	0
ENSG00000270330	0
PARK7	738
Y_RNA	3835
ENSG00000284747	0
ENSG00000284716	0
ERRFI1	10
ERRFI1-DT	0
ENSG00000232848	0
ENSG00000229305	0
ENSG00000288816	0
LINC01714	0
RNU1-7P	5
ENSG00000233645	1
RNU6-991P	0
SLC45A1	0
RERE	513
RERE-AS1	5
ENSG00000221083	0
ENSG00000270282	0
RPL7P11	0
RPL7P7	0
ENSG00000226545	0
ENSG00000228423	0
RPL23AP19	0
ENO1	1055
MIR6728	0
ENO1-AS1	0
RNU6-304P	0
HMGN2P17	8
ENSG00000232208	0
ENSG00000232663	0
CA6	0
RN7SL451P	0
SLC2A7	0
SLC2A5	28
ENSG00000252404	0
GPR157	0
MIR34AHG	18
MIR34A	0
LNCTAM34A	0
H6PD	29
SPSB1	59
ENSG00000284652	0
LINC02606	0
RNA5SP40	0
ENSG00000235263	0
SLC25A33	33
ENSG00000231181	0
TMEM201	4
PIK3CD	133
PIK3CD-AS1	2
ENSG00000233268	0
PIK3CD-AS2	0
CLSTN1	32
MZT1P1	0
ENSG00000280113	0
CTNNBIP1	11
ENSG00000223989	0
ENSG00000285701	0
LZIC	453
ENSG00000228150	0
NMNAT1	94
RN7SKP269	0
TMEM274P	0
MIR5697	0
ENSG00000241326	0
RBP7	96
UBE4B	131
ENSG00000224340	0
PGAM1P11	0
RNU6-828P	0
KIF1B	375
ENSG00000264881	0
RNU6-37P	2
RN7SL731P	0
ENSG00000284735	0
ENSG00000284642	0
PGD	1017
ENSG00000271989	0
CENPS-CORT	16
CENPS	0
CORT	0
DFFA	34
ENSG00000203469	0
PEX14	2
ENSG00000287727	0
RN7SL614P	1
CASZ1	24
ENSG00000272078	2
HSPE1P24	0
C1orf127	21
CFL1P6	0
TARDBP	247
MASP2	0
SRM	35
EXOSC10	101
ENSG00000226849	0
EXOSC10-AS1	0
MTOR	96
MTOR-AS1	0
RNU6-537P	0
ANGPTL7	0
RNU6-291P	0
RPL39P6	0
UBIAD1	0
UBE2V2P3	0
ENSG00000284646	0
MTCYBP45	0
DISP3	0
ENSG00000285833	0
LINC01647	1
ENSG00000284708	0
FBXO2	0
FBXO44	1
FBXO6	0
MAD2L2	25
DRAXIN	0
AGTRAP	0
C1orf167	1
C1orf167-AS1	0
MTHFR	69
CLCN6	61
ENSG00000276470	0
ENSG00000278852	0
NPPA	0
ENSG00000275915	0
NPPB	0
SBF1P2	0
ENSG00000285646	2
RNU5E-1	0
RNU5E-4P	0
KIAA2013	27
PLOD1	2
ENSG00000287384	0
MFN2	1105
ENSG00000270914	0
MIIP	20
MIR6729	0
RN7SL649P	0
TNFRSF8	0
RNU6-777P	0
RPL23AP89	0
ENSG00000285604	0
MIR7846	0
TNFRSF1B	24
MIR4632	0
RPL10P17	0
SNORA70	0
VPS13D	183
SNORA59A	0
LINC02766	2
DHRS3	51
RNU6ATAC18P	0
MIR6730	0
ENSG00000288927	0
ENSG00000272482	0
AADACL4	0
ENSG00000226166	6
AADACL3	0
CFAP107	12
PRAMEF12	13
PRAMEF1	7
LINC01784	0
PRAMEF11	0
PRAMEF30P	0
HNRNPCL1	0
PRAMEF2	0
PRAMEF4	0
PRAMEF10	0
PRAMEF7	0
RNU6-1072P	0
PRAMEF29P	0
PRAMEF6	0
PRAMEF28P	0
PRAMEF27	0
HNRNPCL3	0
PRAMEF25	0
PRAMEF34P	0
PRAMEF35P	0
HNRNPCL2	0
PRAMEF36P	0
ENSG00000233336	0
PRAMEF26	0
HNRNPCL4	0
PRAMEF9	0
PRAMEF13	0
PRAMEF18	0
PRAMEF31P	0
PRAMEF5	0
PRAMEF32P	0
RNU6-771P	0
PRAMEF8	0
PRAMEF33	0
PRAMEF15	0
ENSG00000228229	0
PRAMEF14	0
PRAMEF19	25
PRAMEF17	0
PRAMEF20	0
LRRC38	1
ENSG00000259961	0
BRWD1P1	0
PDPN	0
RNA5SP41	0
ENSG00000237445	0
ENSG00000253085	0
PRDM2	464
ENSG00000289380	0
KAZN	3
RNU6-1265P	0
ENSG00000231606	0
KAZN-AS1	0
TBCAP2	0
ENSG00000287756	0
TMEM51-AS1	15
TMEM51	10
TMEM51-AS2	1
MFFP1	0
ZBTB2P1	0
FHAD1	26
FHAD1-AS1	0
