Geneid	/mnt/efs/clusterfcs/data/tfm-esther/results/procesado-1/duplicates/PP017_sorted_q10_mrkDup.bam
DDX11L1	15
WASH7P	1
MIR6859-1	0
MIR1302-2HG	0
MIR1302-2	0
FAM138A	0
OR4G4P	0
OR4G11P	0
OR4F5	0
ENSG00000238009	0
ENSG00000239945	0
CICP27	0
ENSG00000268903	0
ENSG00000269981	0
ENSG00000239906	0
ENSG00000241860	9
RNU6-1100P	0
ENSG00000241599	0
DDX11L17	25
WASH9P	1
MIR6859-2	0
ENSG00000228463	0
ENSG00000286448	0
RPL23AP24	0
ENSG00000236601	0
ENSG00000237094	21
WBP1LP7	0
OR4F29	0
CICP7	3
ENSG00000250575	0
U6	23
ENSG00000230021	6
ENSG00000235146	0
MTND1P23	39
MTND2P28	1826
MTCO1P12	282
ENSG00000278791	0
MTCO2P12	38
MTATP8P1	2
MTATP6P1	6313
MTCO3P12	15
WBP1LP6	0
OR4F16	0
CICP3	0
ENSG00000228327	0
RNU6-1199P	0
ENSG00000229905	0
LINC01409	56
ENSG00000285268	0
ENSG00000230092	143
FAM87B	1
LINC01128	32
LINC00115	5
ENSG00000288531	3
FAM41C	0
TUBB8P11	0
ENSG00000283040	0
ENSG00000272438	2
ENSG00000230699	4
ENSG00000241180	0
LINC02593	2
SAMD11	11
NOC2L	66
KLHL17	0
PLEKHN1	5
PERM1	1
ENSG00000272512	1
HES4	6
ISG15	38
ENSG00000231702	0
ENSG00000224969	0
AGRN	27
ENSG00000242590	0
ENSG00000217801	5
ENSG00000273443	0
RNF223	0
C1orf159	9
ENSG00000285812	0
LINC01342	0
MIR200B	0
MIR200A	0
MIR429	0
ENSG00000272141	0
TTLL10-AS1	1
TTLL10	3
TNFRSF18	2
TNFRSF4	6
SDF4	148
B3GALT6	21
C1QTNF12	1
ENSG00000260179	9
UBE2J2	57
LINC01786	0
SCNN1D	4
ACAP3	20
MIR6726	0
PUSL1	18
INTS11	76
MIR6727	0
ENSG00000240731	0
CPTP	17
TAS1R3	1
DVL1	9
MIR6808	0
MXRA8	2
AURKAIP1	122
NDUFB4P8	0
CCNL2	31
MRPL20-AS1	16
MRPL20	69
RN7SL657P	0
MRPL20-DT	0
ANKRD65	1
ANKRD65-AS1	0
TMEM88B	1
LINC01770	1
VWA1	19
ATAD3C	2
ATAD3B	11
ENSG00000284740	0
ATAD3A	30
TMEM240	2
SSU72	216
ENSG00000215014	4
ENSG00000274481	0
FNDC10	6
ENSG00000286989	0
ENSG00000272106	15
MIB2	25
MMP23B	0
CDK11B	202
ENSG00000272004	0
SLC35E2B	51
ENSG00000269737	0
MMP23A	0
CDK11A	6
ENSG00000268575	10
ENSG00000227775	14
SLC35E2A	3
NADK	192
GNB1	1640
GNB1-DT	1
CALML6	0
TMEM52	7
CFAP74	1
ENSG00000233542	10
GABRD	14
PRKCZ-DT	1
PRKCZ	6
ENSG00000271806	0
PRKCZ-AS1	0
FAAP20	39
ENSG00000234396	0
SKI	150
ENSG00000287356	2
MORN1	3
ENSG00000272161	0
ENSG00000269896	2
ENSG00000272420	0
RER1	37
PEX10	15
PLCH2	9
ENSG00000224387	0
ENSG00000229393	0
PANK4	27
HES5	0
ENSG00000272449	8
TNFRSF14-AS1	11
TNFRSF14	82
ENSG00000225931	3
ENSG00000228037	8
ENSG00000289610	0
PRXL2B	22
MMEL1	0
MMEL1-AS1	0
TTC34	12
ENSG00000285945	0
ENSG00000283259	0
ENSG00000233234	0
ENSG00000287396	0
ENSG00000231630	0
ENSG00000284745	3
ACTRT2	0
PRDM16-DT	4
PRDM16	13
MIR4251	0
ENSG00000226286	0
ENSG00000279839	0
ENSG00000272235	11
ENSG00000287828	0
ENSG00000286518	21
ARHGEF16	0
ENSG00000272088	0
MEGF6	16
MIR551A	0
ENSG00000238260	0
TPRG1L	82
WRAP73	10
TP73	5
TP73-AS3	0
TP73-AS2	0
TP73-AS1	2
ENSG00000276189	0
CCDC27	0
SMIM1	12
LRRC47	65
RN7SL574P	0
ENSG00000272153	0
CEP104	85
