Geneid	/mnt/efs/clusterfcs/data/tfm-esther/results/procesado-3/duplicates/PP099_sorted_q10_mrkDup.bam
DDX11L1	4
WASH7P	0
MIR6859-1	0
MIR1302-2HG	0
MIR1302-2	0
FAM138A	0
OR4G4P	0
OR4G11P	0
OR4F5	0
ENSG00000238009	0
ENSG00000239945	0
CICP27	0
ENSG00000268903	0
ENSG00000269981	0
ENSG00000239906	0
ENSG00000241860	0
RNU6-1100P	0
ENSG00000241599	0
DDX11L17	8
WASH9P	1
MIR6859-2	0
ENSG00000228463	3
ENSG00000286448	0
RPL23AP24	0
ENSG00000236601	0
ENSG00000237094	13
WBP1LP7	0
OR4F29	0
CICP7	0
ENSG00000250575	0
U6	10
ENSG00000230021	0
ENSG00000235146	0
MTND1P23	23
MTND2P28	53
MTCO1P12	310
ENSG00000278791	0
MTCO2P12	31
MTATP8P1	0
MTATP6P1	62
MTCO3P12	15
WBP1LP6	0
OR4F16	0
CICP3	1
ENSG00000228327	4
RNU6-1199P	0
ENSG00000229905	0
LINC01409	12
ENSG00000285268	0
ENSG00000230092	256
FAM87B	0
LINC01128	48
LINC00115	0
ENSG00000288531	0
FAM41C	0
TUBB8P11	0
ENSG00000283040	0
ENSG00000272438	4
ENSG00000230699	0
ENSG00000241180	0
LINC02593	29
SAMD11	0
NOC2L	89
KLHL17	0
PLEKHN1	1
PERM1	0
ENSG00000272512	0
HES4	0
ISG15	28
ENSG00000231702	0
ENSG00000224969	0
AGRN	5
ENSG00000242590	0
ENSG00000217801	1
ENSG00000273443	0
RNF223	0
C1orf159	5
ENSG00000285812	0
LINC01342	0
MIR200B	0
MIR200A	1
MIR429	0
ENSG00000272141	0
TTLL10-AS1	10
TTLL10	1
TNFRSF18	0
TNFRSF4	4
SDF4	134
B3GALT6	15
C1QTNF12	0
ENSG00000260179	1
UBE2J2	63
LINC01786	0
SCNN1D	2
ACAP3	27
MIR6726	0
PUSL1	18
INTS11	62
MIR6727	0
ENSG00000240731	0
CPTP	15
TAS1R3	0
DVL1	44
MIR6808	0
MXRA8	0
AURKAIP1	199
NDUFB4P8	0
CCNL2	122
MRPL20-AS1	35
MRPL20	146
RN7SL657P	0
MRPL20-DT	2
ANKRD65	10
ANKRD65-AS1	0
TMEM88B	3
LINC01770	0
VWA1	6
ATAD3C	1
ATAD3B	30
ENSG00000284740	0
ATAD3A	39
TMEM240	1
SSU72	490
ENSG00000215014	11
ENSG00000274481	0
FNDC10	4
ENSG00000286989	5
ENSG00000272106	2
MIB2	18
MMP23B	0
CDK11B	263
ENSG00000272004	0
SLC35E2B	51
ENSG00000269737	5
MMP23A	0
CDK11A	9
ENSG00000268575	2
ENSG00000227775	0
SLC35E2A	1
NADK	248
GNB1	2537
GNB1-DT	0
CALML6	14
TMEM52	0
CFAP74	0
ENSG00000233542	8
GABRD	14
PRKCZ-DT	0
PRKCZ	23
ENSG00000271806	0
PRKCZ-AS1	7
FAAP20	41
ENSG00000234396	0
SKI	237
ENSG00000287356	0
MORN1	14
ENSG00000272161	0
ENSG00000269896	0
ENSG00000272420	3
RER1	54
PEX10	20
PLCH2	3
ENSG00000224387	0
ENSG00000229393	0
PANK4	21
HES5	0
ENSG00000272449	16
TNFRSF14-AS1	31
TNFRSF14	158
ENSG00000225931	0
ENSG00000228037	0
ENSG00000289610	0
PRXL2B	46
MMEL1	0
MMEL1-AS1	0
TTC34	0
ENSG00000285945	0
ENSG00000283259	0
ENSG00000233234	0
ENSG00000287396	0
ENSG00000231630	0
ENSG00000284745	5
ACTRT2	0
PRDM16-DT	7
PRDM16	6
MIR4251	0
ENSG00000226286	0
ENSG00000279839	0
ENSG00000272235	8
ENSG00000287828	0
ENSG00000286518	0
ARHGEF16	6
ENSG00000272088	0
MEGF6	8
MIR551A	0
ENSG00000238260	0
TPRG1L	143
WRAP73	32
TP73	2
TP73-AS3	2
TP73-AS2	1
TP73-AS1	47
ENSG00000276189	0
CCDC27	1
SMIM1	40
LRRC47	99
RN7SL574P	0
ENSG00000272153	0
CEP104	122
DFFB	18
C1orf174	120
LINC01134	0
LINC01346	0
LINC01345	0
LINC02780	1
ENSG00000284703	1
EEF1DP6	0
LINC01777	0
ENSG00000284694	0
ENSG00000227169	0
LINC01646	1
AJAP1	6
ENSG00000287586	0
ENSG00000284739	3
LINC02781	0
LINC02782	1
ENSG00000284616	0
ENSG00000284692	2
ENSG00000284666	3
ENSG00000260972	2
ENSG00000283356	0
ENSG00000236948	2
ENSG00000264341	0
MIR4689	0
NPHP4	68
KCNAB2	585
CHD5	5
ENSG00000285629	0
RPL22	2595
RNF207-AS1	0
RNF207	1
ICMT	62
ICMT-DT	0
HES3	0
GPR153	1
ACOT7	40
ENSG00000271746	0
HES2	1
ESPN	60
MIR4252	0
ENSG00000231868	0
TNFRSF25	11
PLEKHG5	2
NOL9	98
RNU6-731P	0
ENSG00000229519	0
TAS1R1	2
ZBTB48	18
KLHL21	21
PHF13	32
THAP3	9
DNAJC11	114
LINC01672	6
ENSG00000284744	0
CAMTA1-DT	0
CAMTA1	425
ENSG00000227950	0
ENSG00000237365	0
RNU1-8P	4
CAMTA1-IT1	0
CAMTA1-AS2	0
CAMTA1-AS1	0
ENSG00000270171	0
ENSG00000270035	0
ENSG00000269978	0
VAMP3	905
ENSG00000269925	0
PER3	86
ENSG00000236266	0
UTS2	11
TNFRSF9	19
ENSG00000270330	0
PARK7	264
Y_RNA	2032
ENSG00000284747	2
ENSG00000284716	0
ERRFI1	40
ERRFI1-DT	0
ENSG00000232848	0
ENSG00000229305	0
ENSG00000288816	0
LINC01714	0
RNU1-7P	2
ENSG00000233645	1
RNU6-991P	0
SLC45A1	0
RERE	663
RERE-AS1	0
ENSG00000221083	0
ENSG00000270282	6
RPL7P11	0
RPL7P7	0
ENSG00000226545	0
ENSG00000228423	0
RPL23AP19	0
ENO1	1475
MIR6728	0
ENO1-AS1	0
RNU6-304P	0
HMGN2P17	0
ENSG00000232208	0
ENSG00000232663	0
CA6	3
RN7SL451P	0
SLC2A7	1
SLC2A5	150
ENSG00000252404	0
GPR157	10
MIR34AHG	2
MIR34A	0
LNCTAM34A	1
H6PD	44
SPSB1	47
ENSG00000284652	0
LINC02606	3
RNA5SP40	0
ENSG00000235263	2
SLC25A33	18
ENSG00000231181	0
TMEM201	10
PIK3CD	423
PIK3CD-AS1	3
ENSG00000233268	0
PIK3CD-AS2	3
CLSTN1	40
MZT1P1	0
ENSG00000280113	0
CTNNBIP1	123
ENSG00000223989	0
ENSG00000285701	0
LZIC	473
ENSG00000228150	2
NMNAT1	37
RN7SKP269	0
TMEM274P	0
MIR5697	0
ENSG00000241326	0
RBP7	325
UBE4B	307
ENSG00000224340	0
PGAM1P11	0
RNU6-828P	0
KIF1B	324
ENSG00000264881	0
RNU6-37P	4
RN7SL731P	0
ENSG00000284735	3
ENSG00000284642	0
PGD	994
ENSG00000271989	0
CENPS-CORT	0
CENPS	0
CORT	0
DFFA	94
ENSG00000203469	0
PEX14	6
ENSG00000287727	6
RN7SL614P	0
CASZ1	15
ENSG00000272078	1
HSPE1P24	0
C1orf127	0
CFL1P6	0
TARDBP	568
MASP2	6
SRM	97
EXOSC10	115
ENSG00000226849	0
EXOSC10-AS1	3
MTOR	146
MTOR-AS1	0
RNU6-537P	0
ANGPTL7	0
RNU6-291P	0
RPL39P6	0
UBIAD1	8
UBE2V2P3	0
ENSG00000284646	0
MTCYBP45	0
DISP3	0
ENSG00000285833	0
LINC01647	0
ENSG00000284708	2
FBXO2	3
FBXO44	46
FBXO6	41
MAD2L2	98
DRAXIN	2
AGTRAP	24
C1orf167	6
C1orf167-AS1	0
MTHFR	71
CLCN6	27
ENSG00000276470	0
ENSG00000278852	0
NPPA	0
ENSG00000275915	0
NPPB	0
SBF1P2	0
ENSG00000285646	4
RNU5E-1	0
RNU5E-4P	2
KIAA2013	25
PLOD1	52
ENSG00000287384	0
MFN2	654
ENSG00000270914	0
MIIP	59
MIR6729	0
RN7SL649P	0
TNFRSF8	12
RNU6-777P	0
RPL23AP89	0
ENSG00000285604	0
MIR7846	0
TNFRSF1B	140
MIR4632	0
RPL10P17	0
SNORA70	0
VPS13D	238
SNORA59A	0
LINC02766	1
DHRS3	71
RNU6ATAC18P	0
MIR6730	0
ENSG00000288927	0
ENSG00000272482	0
AADACL4	5
ENSG00000226166	0
AADACL3	15
CFAP107	0
PRAMEF12	3
PRAMEF1	2
LINC01784	0
PRAMEF11	6
PRAMEF30P	0
HNRNPCL1	7
PRAMEF2	0
PRAMEF4	0
PRAMEF10	0
PRAMEF7	0
RNU6-1072P	0
PRAMEF29P	0
PRAMEF6	0
PRAMEF28P	2
