Geneid	/mnt/efs/clusterfcs/data/tfm-esther/results/procesado-3/duplicates/PP105_sorted_q10_mrkDup.bam
DDX11L1	52
WASH7P	0
MIR6859-1	0
MIR1302-2HG	0
MIR1302-2	0
FAM138A	17
OR4G4P	0
OR4G11P	0
OR4F5	0
ENSG00000238009	0
ENSG00000239945	0
CICP27	0
ENSG00000268903	0
ENSG00000269981	0
ENSG00000239906	0
ENSG00000241860	18
RNU6-1100P	0
ENSG00000241599	0
DDX11L17	42
WASH9P	15
MIR6859-2	0
ENSG00000228463	1
ENSG00000286448	0
RPL23AP24	0
ENSG00000236601	0
ENSG00000237094	13
WBP1LP7	0
OR4F29	0
CICP7	0
ENSG00000250575	0
U6	0
ENSG00000230021	0
ENSG00000235146	0
MTND1P23	28
MTND2P28	2388
MTCO1P12	260
ENSG00000278791	0
MTCO2P12	15
MTATP8P1	2
MTATP6P1	13031
MTCO3P12	7
WBP1LP6	0
OR4F16	0
CICP3	0
ENSG00000228327	16
RNU6-1199P	0
ENSG00000229905	0
LINC01409	0
ENSG00000285268	0
ENSG00000230092	297
FAM87B	0
LINC01128	19
LINC00115	19
ENSG00000288531	7
FAM41C	16
TUBB8P11	0
ENSG00000283040	0
ENSG00000272438	0
ENSG00000230699	1
ENSG00000241180	0
LINC02593	0
SAMD11	8
NOC2L	87
KLHL17	0
PLEKHN1	0
PERM1	0
ENSG00000272512	0
HES4	22
ISG15	124
ENSG00000231702	0
ENSG00000224969	0
AGRN	0
ENSG00000242590	0
ENSG00000217801	0
ENSG00000273443	0
RNF223	0
C1orf159	5
ENSG00000285812	0
LINC01342	0
MIR200B	0
MIR200A	0
MIR429	0
ENSG00000272141	0
TTLL10-AS1	5
TTLL10	0
TNFRSF18	0
TNFRSF4	30
SDF4	273
B3GALT6	15
C1QTNF12	0
ENSG00000260179	0
UBE2J2	87
LINC01786	2
SCNN1D	0
ACAP3	37
MIR6726	0
PUSL1	7
INTS11	154
MIR6727	0
ENSG00000240731	0
CPTP	37
TAS1R3	0
DVL1	29
MIR6808	0
MXRA8	6
AURKAIP1	152
NDUFB4P8	0
CCNL2	51
MRPL20-AS1	23
MRPL20	129
RN7SL657P	0
MRPL20-DT	0
ANKRD65	5
ANKRD65-AS1	0
TMEM88B	0
LINC01770	0
VWA1	7
ATAD3C	0
ATAD3B	13
ENSG00000284740	0
ATAD3A	16
TMEM240	1
SSU72	463
ENSG00000215014	0
ENSG00000274481	0
FNDC10	14
ENSG00000286989	0
ENSG00000272106	0
MIB2	16
MMP23B	0
CDK11B	271
ENSG00000272004	0
SLC35E2B	40
ENSG00000269737	0
MMP23A	0
CDK11A	28
ENSG00000268575	1
ENSG00000227775	3
SLC35E2A	17
NADK	373
GNB1	3748
GNB1-DT	2
CALML6	0
TMEM52	0
CFAP74	0
ENSG00000233542	0
GABRD	0
PRKCZ-DT	0
PRKCZ	105
ENSG00000271806	0
PRKCZ-AS1	1
FAAP20	47
ENSG00000234396	0
SKI	233
ENSG00000287356	0
MORN1	13
ENSG00000272161	0
ENSG00000269896	0
ENSG00000272420	18
RER1	78
PEX10	2
PLCH2	8
ENSG00000224387	0
ENSG00000229393	0
PANK4	47
HES5	0
ENSG00000272449	7
TNFRSF14-AS1	21
TNFRSF14	352
ENSG00000225931	0
ENSG00000228037	8
ENSG00000289610	0
PRXL2B	36
MMEL1	3
MMEL1-AS1	0
TTC34	1
ENSG00000285945	0
ENSG00000283259	0
ENSG00000233234	0
ENSG00000287396	0
ENSG00000231630	0
ENSG00000284745	0
ACTRT2	0
PRDM16-DT	8
PRDM16	0
MIR4251	0
ENSG00000226286	0
ENSG00000279839	0
ENSG00000272235	0
ENSG00000287828	0
ENSG00000286518	0
ARHGEF16	0
ENSG00000272088	0
MEGF6	9
MIR551A	0
ENSG00000238260	0
TPRG1L	133
WRAP73	56
TP73	0
TP73-AS3	0
TP73-AS2	0
TP73-AS1	18
ENSG00000276189	0
CCDC27	4
SMIM1	28
LRRC47	74
RN7SL574P	4
ENSG00000272153	0
CEP104	140
DFFB	0
C1orf174	89
LINC01134	0
LINC01346	0
LINC01345	0
LINC02780	0
ENSG00000284703	0
EEF1DP6	0
LINC01777	3
ENSG00000284694	0
ENSG00000227169	0
LINC01646	0
AJAP1	11
ENSG00000287586	0
ENSG00000284739	0
LINC02781	0
LINC02782	0
ENSG00000284616	0
ENSG00000284692	1
ENSG00000284666	0
ENSG00000260972	0
ENSG00000283356	0
ENSG00000236948	0
ENSG00000264341	0
MIR4689	0
NPHP4	27
KCNAB2	280
CHD5	3
ENSG00000285629	0
RPL22	3159
RNF207-AS1	0
RNF207	3
ICMT	32
ICMT-DT	0
HES3	0
GPR153	0
ACOT7	33
ENSG00000271746	0
HES2	0
ESPN	15
MIR4252	0
ENSG00000231868	0
TNFRSF25	1
PLEKHG5	14
NOL9	104
RNU6-731P	0
ENSG00000229519	0
TAS1R1	3
ZBTB48	45
KLHL21	21
PHF13	67
THAP3	56
DNAJC11	141
LINC01672	0
ENSG00000284744	0
CAMTA1-DT	0
CAMTA1	729
ENSG00000227950	0
ENSG00000237365	0
RNU1-8P	0
CAMTA1-IT1	0
CAMTA1-AS2	0
CAMTA1-AS1	0
ENSG00000270171	0
ENSG00000270035	0
ENSG00000269978	0
VAMP3	1187
ENSG00000269925	0
PER3	113
ENSG00000236266	0
UTS2	0
TNFRSF9	38
ENSG00000270330	0
PARK7	571
Y_RNA	4170
ENSG00000284747	0
ENSG00000284716	0
ERRFI1	0
ERRFI1-DT	0
ENSG00000232848	0
ENSG00000229305	0
ENSG00000288816	0
LINC01714	0
RNU1-7P	0
ENSG00000233645	2
RNU6-991P	0
SLC45A1	0
RERE	722
RERE-AS1	0
ENSG00000221083	0
ENSG00000270282	0
RPL7P11	0
RPL7P7	0
ENSG00000226545	0
ENSG00000228423	0
RPL23AP19	0
ENO1	1484
MIR6728	0
ENO1-AS1	0
RNU6-304P	0
HMGN2P17	0
ENSG00000232208	0
ENSG00000232663	0
CA6	0
RN7SL451P	0
SLC2A7	0
SLC2A5	21
ENSG00000252404	0
GPR157	4
MIR34AHG	1
MIR34A	0
LNCTAM34A	0
H6PD	30
SPSB1	14
ENSG00000284652	0
LINC02606	0
RNA5SP40	0
ENSG00000235263	0
SLC25A33	13
ENSG00000231181	0
TMEM201	17
PIK3CD	463
PIK3CD-AS1	0
ENSG00000233268	0
PIK3CD-AS2	1
CLSTN1	60
MZT1P1	0
ENSG00000280113	0
CTNNBIP1	128
ENSG00000223989	0
ENSG00000285701	0
LZIC	675
ENSG00000228150	0
NMNAT1	50
RN7SKP269	0
TMEM274P	0
MIR5697	0
ENSG00000241326	0
RBP7	285
UBE4B	361
ENSG00000224340	1
PGAM1P11	0
RNU6-828P	0
KIF1B	296
ENSG00000264881	0
RNU6-37P	2
RN7SL731P	0
ENSG00000284735	0
