Geneid	/mnt/efs/clusterfcs/data/tfm-esther/results/procesado-1/duplicates_rm/PP011_sorted_q10_rmDup.bam
DDX11L1	9
WASH7P	0
MIR6859-1	0
MIR1302-2HG	0
MIR1302-2	0
FAM138A	0
OR4G4P	0
OR4G11P	0
OR4F5	0
ENSG00000238009	0
ENSG00000239945	0
CICP27	0
ENSG00000268903	1
ENSG00000269981	0
ENSG00000239906	0
ENSG00000241860	0
RNU6-1100P	0
ENSG00000241599	0
DDX11L17	11
WASH9P	0
MIR6859-2	0
ENSG00000228463	0
ENSG00000286448	0
RPL23AP24	1
ENSG00000236601	0
ENSG00000237094	5
WBP1LP7	0
OR4F29	0
CICP7	0
ENSG00000250575	0
U6	1
ENSG00000230021	0
ENSG00000235146	0
MTND1P23	12
MTND2P28	454
MTCO1P12	62
ENSG00000278791	0
MTCO2P12	15
MTATP8P1	0
MTATP6P1	1044
MTCO3P12	7
WBP1LP6	0
OR4F16	0
CICP3	0
ENSG00000228327	1
RNU6-1199P	0
ENSG00000229905	0
LINC01409	0
ENSG00000285268	0
ENSG00000230092	3
FAM87B	0
LINC01128	7
LINC00115	1
ENSG00000288531	1
FAM41C	0
TUBB8P11	0
ENSG00000283040	0
ENSG00000272438	7
ENSG00000230699	6
ENSG00000241180	0
LINC02593	1
SAMD11	2
NOC2L	18
KLHL17	2
PLEKHN1	3
PERM1	0
ENSG00000272512	0
HES4	8
ISG15	11
ENSG00000231702	0
ENSG00000224969	0
AGRN	3
ENSG00000242590	0
ENSG00000217801	0
ENSG00000273443	1
RNF223	2
C1orf159	3
ENSG00000285812	0
LINC01342	2
MIR200B	0
MIR200A	0
MIR429	1
ENSG00000272141	0
TTLL10-AS1	0
TTLL10	1
TNFRSF18	1
TNFRSF4	0
SDF4	29
B3GALT6	4
C1QTNF12	0
ENSG00000260179	2
UBE2J2	20
LINC01786	0
SCNN1D	0
ACAP3	9
MIR6726	0
PUSL1	0
INTS11	23
MIR6727	0
ENSG00000240731	0
CPTP	3
TAS1R3	0
DVL1	9
MIR6808	0
MXRA8	3
AURKAIP1	15
NDUFB4P8	0
CCNL2	9
MRPL20-AS1	6
MRPL20	11
RN7SL657P	0
MRPL20-DT	0
ANKRD65	1
ANKRD65-AS1	0
TMEM88B	1
LINC01770	0
VWA1	3
ATAD3C	4
ATAD3B	4
ENSG00000284740	0
ATAD3A	4
TMEM240	1
SSU72	47
ENSG00000215014	0
ENSG00000274481	0
FNDC10	3
ENSG00000286989	2
ENSG00000272106	1
MIB2	5
